Metering Code,koncentrator
24ZZDEVELO01CSCE00000000000000000,LK00605431
24ZZDEVELO01TAMH00000000000000000,LK00605904
24ZZDEVELO02CSC900000000000000000,LK00605431
24ZZDEVELO02TAMC00000000000000000,LK00605904
24ZZDEVELO03CSC400000000000000000,LK00605431
24ZZDEVELO03TAM700000000000000000,LK00605431
24ZZDEVELO04CS1L00000000000000000,LK00605431
24ZZDEVELO04TAM200000000000000000,LK00605431
24ZZDEVELO05CSCV00000000000000000,LK00605431
24ZZDEVELO05TAMY00000000000000000,LK00605431
24ZZDEVELO06CSCQ00000000000000000,LK00605431
24ZZDEVELO06TAMT00000000000000000,LK00605431
24ZZDEVELO07CSCL00000000000000000,LK00605431
24ZZDEVELO07TAMO00000000000000000,LK00605431
24ZZDEVELO08CSCG00000000000000000,LK00605431
24ZZDEVELO08TAMJ00000000000000000,LK00605431
24ZZDEVELO09CSCB00000000000000000,LK00605431
24ZZDEVELO09TAME00000000000000000,LK00605431
24ZZDEVELO10CSCD00000000000000000,LK00605431
24ZZDEVELO10TAMG00000000000000000,LK00605431
24ZZDEVELO11CSC800000000000000000,LK00605431
24ZZDEVELO12CSC300000000000000000,LK00605431
24ZZDEVELO13CSCZ00000000000000000,LK00605431
24ZZDEVELO14CSCU00000000000000000,LK00605431
24ZZDEVELO15CSCP00000000000000000,LK00605431
24ZZDEVELO16CSCK00000000000000000,LK00605431
24ZZDEVELO17CSCF00000000000000000,LK00605431
24ZZDEVELO18CSCA00000000000000000,LK00605431
24ZZDEVELO19CSC500000000000000000,LK00605431
24ZZDEVELO20CSC700000000000000000,LK00605431
24ZZDEVELO21CSC200000000000000000,LK00605431
24ZZDEVELO22CSCY00000000000000000,LK00605431
24ZZDEVELO23CSCT00000000000000000,LK00605431
24ZZDEVELO24CSCO00000000000000000,LK00605431
24ZZDEVELO25CSCJ00000000000000000,LK00605431
24ZZDEVELO26CSCE00000000000000000,LK00605431
24ZZDEVELO27CSC900000000000000000,LK00605431
24ZZDEVELO28CSC400000000000000000,LK00605431
24ZZDEVELO29CS1L00000000000000000,LK00605431
24ZZDEVELO30CSC100000000000000000,LK00605431
24ZZDEVELO31CSCX00000000000000000,LK00605431
24ZZDEVELO32CSCS00000000000000000,LK00605431
24ZZDEVELO33CSCN00000000000000000,LK00605431
24ZZDEVELO34CSCI00000000000000000,LK00605431
24ZZDEVELO35CSCD00000000000000000,LK00605431
24ZZDEVELO36CSC800000000000000000,LK00605431
24ZZDEVELO37CSC300000000000000000,LK00605904
24ZZDEVELO38CSCZ00000000000000000,LK00605904
24ZZDEVELO39CSCU00000000000000000,LK00605904
24ZZDEVELO40CSCW00000000000000000,LK00605904
24ZZDEVELO41CSCR00000000000000000,LK00605904
24ZZDEVELO42CSCM00000000000000000,LK00605904
24ZZDEVELO43CSCH00000000000000000,LK00605904
24ZZDEVELO44CSCC00000000000000000,LK00605431
24ZZDEVELO45CSC700000000000000000,LK00605431
24ZZDEVELO46CSC200000000000000000,LK00605431
24ZZDEVELO47CSCY00000000000000000,LK00605431
24ZZDEVELO48CSCT00000000000000000,LK00605431
24ZZDEVELO49CSCO00000000000000000,LK00605431
24ZZDEVELO50CSCQ00000000000000000,LK00605431
24ZZDEVELO51CSCL00000000000000000,LK00605431
24ZZDEVELO52CSCG00000000000000000,LK00605431
24ZZDEVELO53CSCB00000000000000000,LK00605431
24ZZDEVELO54CSC600000000000000000,LK00605431
24ZZDEVELO55CSC100000000000000000,LK00605431
24ZZDEVELO56CSCX00000000000000000,LK00605431
24ZZDEVELO57CSCS00000000000000000,LK00605431
24ZZDEVELO58CSCN00000000000000000,LK00605431
24ZZDEVELO59CSCI00000000000000000,LK00605431
24ZZDEVELO60CSCK00000000000000000,LK00605431
24ZZDEVELO61CSCF00000000000000000,LK00605431
24ZZDEVELO62CSCA00000000000000000,LK00605431
24ZZDEVELO63CSC500000000000000000,LK00605431
24ZZDEVELO64CSC000000000000000000,LK00605431
