Date;week;0:15:0;0:30:0;0:45:0;1:0:0;1:15:0;1:30:0;1:45:0;2:0:0;2:15:0;2:30:0;2:45:0;3:0:0;3:15:0;3:30:0;3:45:0;4:0:0;4:15:0;4:30:0;4:45:0;5:0:0;5:15:0;5:30:0;5:45:0;6:0:0;6:15:0;6:30:0;6:45:0;7:0:0;7:15:0;7:30:0;7:45:0;8:0:0;8:15:0;8:30:0;8:45:0;9:0:0;9:15:0;9:30:0;9:45:0;10:0:0;10:15:0;10:30:0;10:45:0;11:0:0;11:15:0;11:30:0;11:45:0;12:0:0;12:15:0;12:30:0;12:45:0;13:0:0;13:15:0;13:30:0;13:45:0;14:0:0;14:15:0;14:30:0;14:45:0;15:0:0;15:15:0;15:30:0;15:45:0;16:0:0;16:15:0;16:30:0;16:45:0;17:0:0;17:15:0;17:30:0;17:45:0;18:0:0;18:15:0;18:30:0;18:45:0;19:0:0;19:15:0;19:30:0;19:45:0;20:0:0;20:15:0;20:30:0;20:45:0;21:0:0;21:15:0;21:30:0;21:45:0;22:0:0;22:15:0;22:30:0;22:45:0;23:0:0;23:15:0;23:30:0;23:45:0;0:0:0
2018-1-1;1;42.12;41.808;41.808;41.808;41.496;41.496;41.808;42.12;41.808;41.496;41.808;41.496;42.432;41.808;41.496;41.184;41.808;42.744;41.808;41.808;41.184;41.808;41.808;41.808;41.808;41.184;41.496;39.312;39.0;38.064;37.44;37.128;37.128;37.128;37.128;36.816;37.752;37.128;38.064;38.688;38.064;38.376;37.752;37.44;37.752;37.128;38.064;37.128;37.752;37.128;37.752;38.064;37.128;37.128;38.064;37.752;37.44;37.752;38.064;37.44;37.752;37.128;38.064;37.128;38.376;39.936;40.872;40.56;39.936;40.248;40.56;40.56;40.56;39.936;40.56;40.56;41.184;40.248;39.936;39.936;40.56;40.248;40.248;40.248;40.248;39.936;40.248;41.184;39.936;39.624;40.56;40.248;39.936;40.56;40.248;40.56
2018-1-2;1;41.184;40.56;40.248;40.248;40.56;40.872;40.248;40.56;40.248;40.248;39.624;39.936;40.248;40.248;40.248;40.872;40.56;40.248;39.936;40.248;39.624;39.936;42.12;42.12;43.056;44.304;44.616;44.616;46.176;47.424;49.296;52.728;51.792;48.672;49.296;50.544;49.296;49.608;47.736;47.736;49.296;48.672;47.112;48.048;47.112;47.112;47.424;47.424;48.672;46.488;45.552;47.112;46.8;48.048;46.176;45.864;48.048;47.424;47.424;47.424;46.8;49.92;51.48;51.48;51.168;51.792;51.792;50.232;47.736;46.8;46.8;47.424;46.488;45.24;44.616;42.12;42.432;43.368;42.432;42.432;42.432;42.744;42.12;42.744;42.432;42.432;41.496;40.872;40.56;39.936;40.56;40.248;40.872;40.56;40.56;40.248
2018-1-3;1;40.872;40.56;40.56;40.872;41.184;40.872;41.184;40.56;41.184;40.56;41.184;40.56;41.496;40.56;40.872;40.872;40.872;40.872;40.248;40.56;40.248;39.936;39.936;40.56;40.56;40.872;42.432;43.992;44.928;45.864;47.424;45.24;46.176;48.048;49.296;49.608;48.36;50.856;48.048;48.984;48.048;47.112;47.736;48.048;48.36;48.36;49.296;47.424;48.672;47.736;46.176;46.488;48.672;48.672;48.048;48.048;48.672;48.048;47.736;47.736;48.672;51.792;55.224;54.6;52.416;52.104;52.416;51.792;51.792;50.544;50.544;48.36;46.8;47.112;47.112;45.552;45.24;44.928;45.864;45.864;45.24;44.928;45.24;44.304;44.616;44.304;45.864;44.928;43.056;40.56;41.184;40.56;40.56;40.56;40.248;40.872
2018-1-4;1;41.184;40.56;40.248;40.872;40.56;40.248;40.56;41.184;40.56;40.56;41.184;40.56;40.248;40.872;41.496;40.872;40.248;40.56;40.872;40.56;41.808;43.368;44.304;43.056;43.992;44.928;45.24;47.424;47.736;49.608;51.168;49.296;44.928;46.8;47.424;48.048;48.36;46.8;46.8;47.424;47.736;47.112;46.488;46.488;46.176;44.928;44.616;46.488;44.928;45.552;47.112;46.488;47.112;47.424;48.048;47.424;47.736;47.112;47.112;47.112;48.672;53.04;53.976;53.04;53.04;52.416;53.352;52.104;51.168;49.296;48.36;49.296;48.048;48.048;44.616;42.744;44.304;43.056;43.056;42.744;43.368;42.432;43.056;42.432;43.368;42.744;42.432;41.184;41.496;42.432;42.12;42.432;41.496;41.808;41.496;42.432
2018-1-5;1;41.184;44.616;42.432;42.12;42.744;42.12;42.12;43.056;41.496;41.496;42.12;41.184;41.808;41.808;41.496;41.184;41.808;41.808;40.872;41.184;41.184;41.184;41.496;40.56;40.872;43.056;41.808;43.68;44.616;48.36;48.048;47.424;51.48;49.296;47.736;48.36;48.984;49.92;48.36;49.608;48.672;48.36;48.984;48.672;46.8;48.36;47.424;46.488;48.984;46.176;47.112;48.36;47.736;46.176;47.112;48.36;45.864;46.488;45.864;47.112;46.488;47.736;49.608;50.232;50.856;48.984;49.92;49.296;48.984;48.36;47.736;46.8;46.488;48.36;48.672;47.736;46.488;46.176;46.176;46.488;46.176;46.176;45.552;40.872;42.12;40.56;41.496;41.184;40.56;41.496;41.808;40.56;41.184;42.432;41.496;40.56
2018-1-6;0;41.496;41.496;40.872;40.872;41.184;40.56;41.496;40.56;41.496;41.496;40.56;41.184;41.496;40.872;41.184;41.496;41.184;40.56;41.808;41.184;40.56;41.184;41.496;40.872;42.12;41.184;41.496;40.872;41.496;40.56;39.624;40.248;39.936;40.248;38.688;38.376;38.064;38.688;38.688;39.312;38.376;38.688;38.064;39.312;38.064;39.0;38.688;38.688;39.0;38.376;38.688;38.688;38.376;38.688;39.312;38.376;39.312;39.0;38.688;38.688;38.688;38.688;37.752;39.0;38.688;38.376;39.624;39.624;41.184;41.184;40.872;41.496;40.872;41.496;41.184;41.496;40.872;41.184;40.56;40.56;41.808;43.68;43.056;43.056;42.744;42.432;41.496;41.808;41.808;41.184;41.496;41.496;40.872;41.808;41.808;41.496
2018-1-7;0;41.184;41.496;41.808;41.496;41.496;41.184;41.496;41.184;41.496;41.808;41.808;40.872;41.496;42.12;40.872;41.808;41.184;41.808;41.184;41.184;41.496;41.496;41.184;41.808;41.184;41.496;40.872;40.872;41.184;40.872;40.248;39.0;38.688;38.064;38.376;38.064;39.0;38.064;39.0;38.688;38.376;38.376;39.312;39.0;38.064;38.376;38.064;38.376;38.376;39.312;38.376;38.688;38.376;38.064;37.752;38.064;38.376;38.376;39.624;41.184;40.872;40.248;39.936;40.56;41.184;40.56;40.56;41.496;40.872;42.432;40.56;41.808;41.496;41.496;40.56;41.184;41.808;40.56;40.872;40.872;41.184;41.496;40.56;41.184;41.184;40.56;40.56;41.496;40.56;40.248;41.808;40.56;41.496;40.56;40.872;41.184
2018-1-8;1;41.496;40.56;40.872;41.496;40.872;40.56;41.184;41.496;40.248;41.496;40.56;40.56;40.56;41.496;41.184;40.56;41.496;41.184;41.184;41.184;40.872;40.56;40.56;40.56;41.184;43.68;45.24;44.928;47.424;49.296;49.296;55.848;56.472;54.6;56.16;54.912;57.096;55.224;53.976;55.848;53.352;54.6;52.416;53.976;53.04;52.104;50.232;50.544;52.104;51.48;51.168;50.232;52.728;51.48;52.416;49.92;51.168;51.792;51.48;52.416;53.04;51.48;55.848;56.472;56.784;56.472;56.784;54.912;55.224;52.416;49.92;48.672;48.048;48.36;48.048;48.048;48.048;47.112;46.488;45.864;46.488;46.176;44.304;42.12;41.808;40.872;41.184;41.184;41.184;40.872;40.56;41.496;40.872;41.184;40.872;41.184
2018-1-9;1;41.184;41.184;40.872;41.184;41.496;41.496;40.872;40.872;41.184;40.872;40.56;40.56;40.56;40.872;40.872;40.872;41.184;40.56;41.184;40.872;40.56;40.872;40.56;40.248;41.184;42.432;42.12;43.992;47.112;49.92;48.36;50.232;51.48;50.544;51.792;49.296;49.608;50.544;53.04;50.544;52.104;48.984;49.608;48.36;51.168;48.048;47.736;48.048;46.8;49.296;48.36;49.296;48.36;49.92;48.048;48.048;52.104;49.608;49.608;48.984;52.416;49.92;50.856;56.16;55.224;57.72;53.976;53.664;53.352;49.92;49.92;49.296;48.672;49.92;48.36;48.048;48.36;47.736;47.112;48.048;48.048;46.8;46.8;48.36;45.552;43.056;42.744;42.432;43.056;42.744;42.744;42.432;42.744;42.744;42.432;42.744
2018-1-10;1;43.056;42.432;42.744;42.744;42.432;42.432;41.496;42.432;41.496;41.496;41.808;41.808;41.496;43.056;41.808;41.808;41.496;42.432;41.496;41.496;41.808;40.872;41.808;42.744;46.488;47.112;47.112;45.24;46.488;46.8;48.672;51.48;52.104;50.856;52.728;52.728;53.664;52.416;53.664;53.976;53.04;51.792;53.04;51.792;50.544;50.544;49.92;50.856;53.664;49.296;47.424;49.296;49.92;50.856;50.544;52.416;52.416;51.792;52.104;50.856;51.792;53.664;56.784;56.16;57.408;56.784;55.224;52.728;52.416;50.544;49.92;48.048;48.672;48.672;48.048;45.24;45.864;45.552;45.552;46.176;45.24;44.928;44.928;44.616;44.616;45.24;45.24;45.552;43.992;44.928;45.24;42.432;41.496;41.808;41.184;42.432
