,date,shops,office_building,industrial_park,fve,mve,wpg,price
0.0,01/01/2020 00:00,17.804,40.56,18.04,0.0,2708.2,90.12,"33,20"
1.0,01/01/2020 00:15,12.96,42.12,17.132,0.0,2939.06,89.54,"33,20"
2.0,01/01/2020 00:30,12.94,41.808,16.244,0.0,2923.67,81.32,"33,20"
3.0,01/01/2020 00:45,13.1,41.808,15.964,0.0,2914.28,74.89,"33,20"
4.0,01/01/2020 01:00,17.8,41.808,20.932,0.0,2954.06,73.86,"30,40"
5.0,01/01/2020 01:15,13.432,41.496,15.96,0.0,2948.46,72.66,"30,40"
6.0,01/01/2020 01:30,13.628,41.496,16.18,0.0,2926.26,71.28,"30,40"
7.0,01/01/2020 01:45,12.552,41.808,18.688,0.0,2917.78,73.35,"30,40"
8.0,01/01/2020 02:00,13.652,42.12,18.412,0.0,2915.36,67.41,"28,53"
9.0,01/01/2020 02:15,13.348,41.808,18.764,0.0,2910.04,62.97,"28,53"
10.0,01/01/2020 02:30,12.112,41.496,18.196,0.0,2913.24,59.93,"28,53"
11.0,01/01/2020 02:45,13.684,41.808,18.816,0.0,2953.88,58.95,"28,53"
12.0,01/01/2020 03:00,13.24,41.496,21.088,0.0,2949.74,59.63,"27,37"
13.0,01/01/2020 03:15,13.484,42.432,20.652,0.0,2926.22,59.98,"27,37"
14.0,01/01/2020 03:30,12.636,41.808,25.088,0.0,2920.56,57.28,"27,37"
15.0,01/01/2020 03:45,16.28,41.496,26.988,0.0,2916.32,60.58,"27,37"
16.0,01/01/2020 04:00,13.224,41.184,30.332,0.0,2912.32,63.22,"26,38"
17.0,01/01/2020 04:15,12.644,41.808,25.592,0.0,2918.76,66.71,"26,38"
18.0,01/01/2020 04:30,14.088,42.744,24.168,0.0,2945.66,67.0,"26,38"
19.0,01/01/2020 04:45,12.412,41.808,40.548,0.0,2951.24,69.17,"26,38"
20.0,01/01/2020 05:00,14.3,41.808,36.516,0.0,2922.48,70.23,"26,50"
21.0,01/01/2020 05:15,13.176,41.184,34.528,0.0,2909.52,73.19,"26,50"
22.0,01/01/2020 05:30,16.5,41.808,48.98,0.0,2930.82,75.21,"26,50"
23.0,01/01/2020 05:45,13.776,41.808,88.916,0.0,2933.46,73.79,"26,50"
24.0,01/01/2020 06:00,18.888,41.808,101.508,0.0,2945.7,70.42,"27,01"
25.0,01/01/2020 06:15,20.508,41.808,122.972,0.0,2996.22,59.42,"27,01"
26.0,01/01/2020 06:30,21.684,41.184,143.032,0.0,3027.56,49.54,"27,01"
27.0,01/01/2020 06:45,20.584,41.496,162.592,0.0,3036.56,42.71,"27,01"
28.0,01/01/2020 07:00,21.124,39.312,144.272,0.0,2997.78,33.4,"27,40"
29.0,01/01/2020 07:15,30.984,39.0,133.188,0.0,2974.6,29.79,"27,40"
30.0,01/01/2020 07:30,23.448,38.064,152.5,0.0,2980.14,26.94,"27,40"
31.0,01/01/2020 07:45,16.128,37.44,135.464,0.0,1687.0,26.98,"27,40"
32.0,01/01/2020 08:00,15.88,37.128,153.052,0.0,1959.24,30.65,"27,99"
33.0,01/01/2020 08:15,16.456,37.128,144.768,0.0,1680.98,32.59,"27,99"
34.0,01/01/2020 08:30,24.664,37.128,150.956,7.5,2864.18,35.93,"27,99"
35.0,01/01/2020 08:45,39.208,37.128,164.452,12.0004,3016.86,42.35,"27,99"
36.0,01/01/2020 09:00,40.88,36.816,136.848,16.6516,2979.24,48.4,"27,71"
37.0,01/01/2020 09:15,35.596,37.752,134.788,34.4688,2933.28,54.84,"27,71"
38.0,01/01/2020 09:30,31.076,37.128,151.928,59.5292,3000.92,57.49,"27,71"
39.0,01/01/2020 09:45,33.268,38.064,151.732,65.8368,3019.46,62.99,"27,71"
40.0,01/01/2020 10:00,31.684,38.688,137.108,77.6696,3022.38,60.56,"28,40"
41.0,01/01/2020 10:15,30.576,38.064,115.752,69.1556,3001.74,60.72,"28,40"
42.0,01/01/2020 10:30,27.36,38.376,109.832,66.0168,2982.38,59.72,"28,40"
43.0,01/01/2020 10:45,32.528,37.752,105.064,71.906,2991.24,62.87,"28,40"
44.0,01/01/2020 11:00,34.248,37.44,122.492,123.8276,3028.66,65.34,"28,98"
45.0,01/01/2020 11:15,25.416,37.752,151.472,143.1424,3022.14,58.26,"28,98"
46.0,01/01/2020 11:30,20.784,37.128,148.292,148.3224,3027.4,54.08,"28,98"
47.0,01/01/2020 11:45,22.884,38.064,141.364,161.9312,3034.48,56.09,"28,98"
48.0,01/01/2020 12:00,25.868,37.128,147.368,156.2076,3027.02,49.8,"29,50"
49.0,01/01/2020 12:15,25.644,37.752,140.64,238.7408,3029.52,49.17,"29,50"
50.0,01/01/2020 12:30,23.996,37.128,134.596,188.3152,3039.04,49.72,"29,50"
51.0,01/01/2020 12:45,26.664,37.752,145.016,152.7752,3043.74,50.06,"29,50"
52.0,01/01/2020 13:00,20.924,38.064,118.856,133.6736,3050.8,50.98,"29,43"
53.0,01/01/2020 13:15,22.12,37.128,107.564,128.2584,3059.44,50.05,"29,43"
54.0,01/01/2020 13:30,21.96,37.128,91.164,121.6456,3060.54,52.14,"29,43"
55.0,01/01/2020 13:45,30.104,38.064,87.812,81.8928,3013.6,48.48,"29,43"
56.0,01/01/2020 14:00,17.348,37.752,74.588,94.19,2983.66,50.57,"30,51"
57.0,01/01/2020 14:15,22.62,37.44,69.16,71.0752,2994.24,49.04,"30,51"
58.0,01/01/2020 14:30,30.444,37.752,64.756,104.044,3004.76,51.07,"30,51"
59.0,01/01/2020 14:45,21.764,38.064,66.836,112.7996,3013.92,52.92,"30,51"
60.0,01/01/2020 15:00,23.46,37.44,66.396,72.6164,3022.98,55.37,"33,32"
61.0,01/01/2020 15:15,25.416,37.752,57.728,35.7696,3018.56,58.44,"33,32"
62.0,01/01/2020 15:30,28.12,37.128,60.352,5.8844,2970.74,62.32,"33,32"
63.0,01/01/2020 15:45,27.136,38.064,55.872,0.122,2972.38,62.94,"33,32"
64.0,01/01/2020 16:00,26.976,37.128,47.616,0.0,2992.54,69.39,"38,11"
65.0,01/01/2020 16:15,31.04,38.376,39.256,0.0,3001.84,66.69,"38,11"
66.0,01/01/2020 16:30,29.56,39.936,36.436,0.0,2963.46,68.87,"38,11"
67.0,01/01/2020 16:45,32.6,40.872,34.724,0.0,2909.46,77.15,"38,11"
68.0,01/01/2020 17:00,39.568,40.56,40.428,0.0,2938.76,79.38,"41,24"
69.0,01/01/2020 17:15,31.652,39.936,27.872,0.0,2956.28,80.81,"41,24"
70.0,01/01/2020 17:30,39.468,40.248,20.316,0.0,2961.32,84.02,"41,24"
71.0,01/01/2020 17:45,34.532,40.56,20.716,0.0,2936.44,93.79,"41,24"
72.0,01/01/2020 18:00,43.372,40.56,20.484,0.0,2916.48,103.79,"42,66"
73.0,01/01/2020 18:15,33.296,40.56,22.74,0.0,2934.24,123.98,"42,66"
74.0,01/01/2020 18:30,38.12,39.936,29.868,0.0,2946.0,136.76,"42,66"
75.0,01/01/2020 18:45,31.38,40.56,27.2,0.0,2951.18,154.33,"42,66"
76.0,01/01/2020 19:00,43.228,40.56,23.34,0.0,2946.52,177.84,"42,08"
77.0,01/01/2020 19:15,39.912,41.184,20.304,0.0,2915.98,197.43,"42,08"
78.0,01/01/2020 19:30,35.308,40.248,22.272,0.0,2919.5,209.34,"42,08"
79.0,01/01/2020 19:45,33.764,39.936,17.144,0.0,2933.08,219.14,"42,08"
80.0,01/01/2020 20:00,39.04,39.936,14.28,0.0,2951.62,222.24,"39,51"
81.0,01/01/2020 20:15,46.908,40.56,14.728,0.0,2968.96,225.69,"39,51"
82.0,01/01/2020 20:30,41.692,40.248,20.14,0.0,2936.52,234.28,"39,51"
83.0,01/01/2020 20:45,30.16,40.248,13.344,0.0,2945.98,238.21,"39,51"
84.0,01/01/2020 21:00,23.656,40.248,17.172,0.0,2945.92,236.6,"37,50"
85.0,01/01/2020 21:15,19.216,40.248,14.448,0.0,2965.3,232.53,"37,50"
86.0,01/01/2020 21:30,26.308,39.936,9.416,0.0,2975.12,235.51,"37,50"
87.0,01/01/2020 21:45,22.036,40.248,12.472,0.0,2972.76,229.36,"37,50"
88.0,01/01/2020 22:00,19.256,41.184,8.928,0.0,2970.4,222.33,"35,60"
89.0,01/01/2020 22:15,16.792,39.936,9.096,0.0,2966.4,219.88,"35,60"
90.0,01/01/2020 22:30,18.396,39.624,8.064,0.0,2989.52,214.94,"35,60"
91.0,01/01/2020 22:45,17.988,40.56,9.56,0.0,3022.74,208.29,"35,60"
92.0,01/01/2020 23:00,19.068,40.248,9.612,0.0,3028.44,205.95,"31,60"
93.0,01/01/2020 23:15,16.84,39.936,10.328,0.0,2973.9,202.66,"31,60"
94.0,01/01/2020 23:30,16.196,40.56,8.792,0.0,2957.94,194.85,"31,60"
95.0,01/01/2020 23:45,20.704,40.248,9.624,0.0,2988.46,195.25,"31,60"
96.0,02/01/2020 00:00,13.68,40.248,12.036,0.0,3009.94,189.37,"32,01"
97.0,02/01/2020 00:15,15.956,41.184,11.176,0.0,2990.52,187.77,"32,01"
98.0,02/01/2020 00:30,20.636,40.56,11.172,0.0,2978.1,176.51,"32,01"
99.0,02/01/2020 00:45,18.156,40.248,12.14,0.0,2975.1,178.12,"32,01"
100.0,02/01/2020 01:00,15.86,40.248,10.56,0.0,2957.92,175.56,"31,50"
101.0,02/01/2020 01:15,17.52,40.56,11.772,0.0,2978.04,171.97,"31,50"
102.0,02/01/2020 01:30,17.068,40.872,10.136,0.0,2986.26,167.16,"31,50"
103.0,02/01/2020 01:45,17.188,40.248,10.784,0.0,2987.2,162.18,"31,50"
104.0,02/01/2020 02:00,15.844,40.56,11.512,0.0,2965.06,163.95,"29,66"
105.0,02/01/2020 02:15,15.132,40.248,9.692,0.0,2964.88,161.54,"29,66"
106.0,02/01/2020 02:30,17.3,40.248,11.916,0.0,2980.5,158.54,"29,66"
107.0,02/01/2020 02:45,18.008,39.624,11.432,0.0,2987.82,160.76,"29,66"
108.0,02/01/2020 03:00,15.6,39.936,13.132,0.0,2995.1,162.4,"28,70"
109.0,02/01/2020 03:15,15.464,40.248,12.676,0.0,2993.26,162.63,"28,70"
110.0,02/01/2020 03:30,20.412,40.248,21.892,0.0,2990.72,164.82,"28,70"
111.0,02/01/2020 03:45,16.28,40.248,25.888,0.0,2988.54,168.6,"28,70"
112.0,02/01/2020 04:00,17.52,40.872,20.664,0.0,2986.0,167.22,"29,18"
113.0,02/01/2020 04:15,21.912,40.56,21.884,0.0,2988.88,171.52,"29,18"
114.0,02/01/2020 04:30,21.688,40.248,25.472,0.0,2987.16,173.6,"29,18"
115.0,02/01/2020 04:45,17.032,39.936,32.344,0.0,2983.94,176.93,"29,18"
116.0,02/01/2020 05:00,17.584,40.248,24.688,0.0,2979.24,177.3,"32,01"
117.0,02/01/2020 05:15,20.32,39.624,27.536,0.0,2950.52,175.1,"32,01"
118.0,02/01/2020 05:30,20.0,39.936,59.468,0.0,2941.9,174.53,"32,01"
119.0,02/01/2020 05:45,17.68,42.12,70.552,0.0,2941.5,160.93,"32,01"
120.0,02/01/2020 06:00,22.832,42.12,83.812,0.0,2936.96,144.45,"36,26"
121.0,02/01/2020 06:15,28.904,43.056,118.82,0.0,2901.48,123.95,"36,26"
122.0,02/01/2020 06:30,23.5,44.304,130.056,0.0,2903.94,107.65,"36,26"
123.0,02/01/2020 06:45,25.72,44.616,126.92,0.0,2914.28,87.8,"36,26"
124.0,02/01/2020 07:00,25.188,44.616,133.6,0.0,2913.26,67.01,"41,50"
125.0,02/01/2020 07:15,27.496,46.176,121.32,0.0,2916.66,53.54,"41,50"
126.0,02/01/2020 07:30,23.072,47.424,138.764,0.0,2908.18,48.32,"41,50"
127.0,02/01/2020 07:45,15.632,49.296,153.26,0.002,2492.46,45.79,"41,50"
128.0,02/01/2020 08:00,19.464,52.728,143.424,0.3988,1608.76,47.74,"45,65"
129.0,02/01/2020 08:15,43.628,51.792,131.364,7.1156,2450.98,54.06,"45,65"
130.0,02/01/2020 08:30,77.776,48.672,115.18,30.3364,2968.24,61.75,"45,65"
131.0,02/01/2020 08:45,135.8,49.296,130.956,118.9672,3053.56,73.8,"45,65"
132.0,02/01/2020 09:00,184.204,50.544,117.328,204.6936,3015.74,91.48,"48,01"
133.0,02/01/2020 09:15,221.04,49.296,129.536,203.8784,2929.48,105.25,"48,01"
134.0,02/01/2020 09:30,203.972,49.608,139.276,238.9668,3006.76,117.53,"48,01"
135.0,02/01/2020 09:45,199.972,47.736,120.68,331.7168,2998.22,127.59,"48,01"
136.0,02/01/2020 10:00,179.196,47.736,129.328,372.0312,3017.46,132.66,"45,00"
137.0,02/01/2020 10:15,181.032,49.296,92.852,315.596,3048.84,136.08,"45,00"
138.0,02/01/2020 10:30,180.02,48.672,105.22,368.8508,3002.66,133.89,"45,00"
139.0,02/01/2020 10:45,167.592,47.112,100.672,444.7804,2965.98,138.2,"45,00"
140.0,02/01/2020 11:00,165.14,48.048,105.376,392.4616,2900.7,139.93,"45,00"
141.0,02/01/2020 11:15,162.244,47.112,127.232,442.022,2972.3,143.41,"45,00"
142.0,02/01/2020 11:30,173.832,47.112,129.22,551.6232,2997.64,147.56,"45,00"
143.0,02/01/2020 11:45,173.188,47.424,113.328,607.6804,2952.12,142.6,"45,00"
144.0,02/01/2020 12:00,165.08,47.424,126.792,847.8332,2961.02,145.31,"45,98"
