Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,-8,3,0,-8,0,0
1,1,1,0,0,-8.4,3,0,-8.4,0,0
1,1,2,0,0,-8.9,3,0,-8.9,0,0
1,1,3,0,0,-9.3,3,0,-9.3,0,0
1,1,4,0,0,-9.2,2,0,-9.2,0,0
1,1,5,0,0,-9.1,2,0,-9.1,0,0
1,1,6,0,0,-9,2,0,-9,0,0
1,1,7,0,16,-8,2,15.518,-9.895,62.077,40.535
1,1,8,0,100,-7,2,175.853,-4.142,687.149,652.189
1,1,9,0,184,-6,2,254.856,-0.246,979.819,937.328
1,1,10,327,126,-5.1,1,345.171,5.428,1270.784,1220.016
1,1,11,325,132,-4.3,1,363.739,7.316,1334.555,1281.868
1,1,12,148,132,-3.4,1,246.754,4.448,920.384,879.487
1,1,13,0,118,-4.2,1,129.596,-0.999,499.82,469.262
1,1,14,0,40,-5,1,38.683,-5.741,152.155,128.904
1,1,15,0,0,-5.8,1,0,-5.8,0,0
1,1,16,0,0,-5.5,1,0,-5.5,0,0
1,1,17,0,0,-5.3,1,0,-5.3,0,0
1,1,18,0,0,-5,2,0,-5,0,0
1,1,19,0,0,-5,2,0,-5,0,0
1,1,20,0,0,-4.9,2,0,-4.9,0,0
1,1,21,0,0,-4.9,3,0,-4.9,0,0
1,1,22,0,0,-5,3,0,-5,0,0
1,1,23,0,0,-5.1,3,0,-5.1,0,0
1,2,0,0,0,-5.2,3,0,-5.2,0,0
1,2,1,0,0,-5.4,2,0,-5.4,0,0
1,2,2,0,0,-5.5,2,0,-5.5,0,0
1,2,3,0,0,-5.7,2,0,-5.7,0,0
1,2,4,0,0,-5.2,1,0,-5.2,0,0
1,2,5,0,0,-4.6,1,0,-4.6,0,0
1,2,6,0,0,-4.1,1,0,-4.1,0,0
1,2,7,0,6,-3.7,0,5.819,-8.217,23.121,2.295
1,2,8,0,31,-3.3,0,31.627,-6.561,124.817,102.093
1,2,9,0,52,-2.9,0,50.635,-4.802,198.397,174.238
1,2,10,4,65,-2.1,0,65.062,-2.896,252.61,227.363
1,2,11,3,69,-1.4,0,68.198,-1.688,263.595,238.124
1,2,12,3,60,-0.6,1,58.784,-0.998,226.52,201.8
1,2,13,0,42,-0.7,0,39.84,-2.569,154.666,131.365
1,2,14,0,17,-0.9,0,16.094,-4.275,62.924,41.366
1,2,15,0,0,-1,0,0,-1,0,0
1,2,16,0,0,-0.9,0,0,-0.9,0,0
1,2,17,0,0,-0.9,1,0,-0.9,0,0
1,2,18,0,0,-0.8,2,0,-0.8,0,0
1,2,19,0,0,-1,2,0,-1,0,0
1,2,20,0,0,-1.2,2,0,-1.2,0,0
1,2,21,0,0,-1.4,2,0,-1.4,0,0
1,2,22,0,0,-1.1,2,0,-1.1,0,0
1,2,23,0,0,-0.8,2,0,-0.8,0,0
1,3,0,0,0,-0.5,2,0,-0.5,0,0
1,3,1,0,0,-0.8,3,0,-0.8,0,0
1,3,2,0,0,-1,4,0,-1,0,0
1,3,3,0,0,-1.3,6,0,-1.3,0,0
1,3,4,0,0,-1,5,0,-1,0,0
1,3,5,0,0,-0.7,5,0,-0.7,0,0
1,3,6,0,0,-0.4,5,0,-0.4,0,0
1,3,7,0,14,0.7,4,13.578,-0.714,52.304,30.943
1,3,8,0,31,1.9,3,31.566,0.786,120.831,98.182
1,3,9,0,52,3,3,50.598,2.429,192.343,168.305
1,3,10,3,67,2.9,3,66.645,2.788,252.732,227.482
1,3,11,3,69,2.7,3,68.168,2.671,258.686,233.315
1,3,12,3,60,2.6,3,58.768,2.338,223.294,198.639
1,3,13,0,42,2.6,3,39.84,1.833,151.831,128.586
1,3,14,0,17,2.6,3,16.094,1.178,61.506,39.974
1,3,15,0,0,2.6,3,0,2.6,0,0
1,3,16,0,0,2.6,3,0,2.6,0,0
1,3,17,0,0,2.7,3,0,2.7,0,0
1,3,18,0,0,2.7,4,0,2.7,0,0
1,3,19,0,0,2.5,3,0,2.5,0,0
1,3,20,0,0,2.4,2,0,2.4,0,0
1,3,21,0,0,2.2,2,0,2.2,0,0
1,3,22,0,0,2,2,0,2,0,0
1,3,23,0,0,1.8,2,0,1.8,0,0
1,4,0,0,0,1.6,3,0,1.6,0,0
