date_1,value_1,date_2,value_2,date_3,value_3,date_4,value_4,sum
2018-01-01 00:00:00,0.0,2018-01-01 00:00:00,0.0,2018-01-01 00:00:00,0.0,2018-01-01 00:00:00,0.0,0.0
2018-01-01 00:15:00,0.0,2018-01-01 00:15:00,0.0,2018-01-01 00:15:00,0.0,2018-01-01 00:15:00,0.0,0.0
2018-01-01 00:30:00,0.0,2018-01-01 00:30:00,0.0,2018-01-01 00:30:00,0.0,2018-01-01 00:30:00,0.0,0.0
2018-01-01 00:45:00,0.0,2018-01-01 00:45:00,0.0,2018-01-01 00:45:00,0.0,2018-01-01 00:45:00,0.0,0.0
2018-01-01 01:00:00,0.0,2018-01-01 01:00:00,0.0,2018-01-01 01:00:00,0.0,2018-01-01 01:00:00,0.0,0.0
2018-01-01 01:15:00,0.0,2018-01-01 01:15:00,0.0,2018-01-01 01:15:00,0.0,2018-01-01 01:15:00,0.0,0.0
2018-01-01 01:30:00,0.0,2018-01-01 01:30:00,0.0,2018-01-01 01:30:00,0.0,2018-01-01 01:30:00,0.0,0.0
2018-01-01 01:45:00,0.0,2018-01-01 01:45:00,0.0,2018-01-01 01:45:00,0.0,2018-01-01 01:45:00,0.0,0.0
2018-01-01 02:00:00,0.0,2018-01-01 02:00:00,0.0,2018-01-01 02:00:00,0.0,2018-01-01 02:00:00,0.0,0.0
2018-01-01 02:15:00,0.0,2018-01-01 02:15:00,0.0,2018-01-01 02:15:00,0.0,2018-01-01 02:15:00,0.0,0.0
2018-01-01 02:30:00,0.0,2018-01-01 02:30:00,0.0,2018-01-01 02:30:00,0.0,2018-01-01 02:30:00,0.0,0.0
2018-01-01 02:45:00,0.0,2018-01-01 02:45:00,0.0,2018-01-01 02:45:00,0.0,2018-01-01 02:45:00,0.0,0.0
2018-01-01 03:00:00,0.0,2018-01-01 03:00:00,0.0,2018-01-01 03:00:00,0.0,2018-01-01 03:00:00,0.0,0.0
2018-01-01 03:15:00,0.0,2018-01-01 03:15:00,0.0,2018-01-01 03:15:00,0.0,2018-01-01 03:15:00,0.0,0.0
2018-01-01 03:30:00,0.0,2018-01-01 03:30:00,0.0,2018-01-01 03:30:00,0.0,2018-01-01 03:30:00,0.0,0.0
2018-01-01 03:45:00,0.0,2018-01-01 03:45:00,0.0,2018-01-01 03:45:00,0.0,2018-01-01 03:45:00,0.0,0.0
2018-01-01 04:00:00,0.0,2018-01-01 04:00:00,0.0,2018-01-01 04:00:00,0.0,2018-01-01 04:00:00,0.0,0.0
2018-01-01 04:15:00,0.0,2018-01-01 04:15:00,0.0,2018-01-01 04:15:00,0.0,2018-01-01 04:15:00,0.0,0.0
2018-01-01 04:30:00,0.0,2018-01-01 04:30:00,0.0,2018-01-01 04:30:00,0.0,2018-01-01 04:30:00,0.0,0.0
2018-01-01 04:45:00,0.0,2018-01-01 04:45:00,0.0,2018-01-01 04:45:00,0.0,2018-01-01 04:45:00,0.0,0.0
2018-01-01 05:00:00,0.0,2018-01-01 05:00:00,0.0,2018-01-01 05:00:00,0.0,2018-01-01 05:00:00,0.0,0.0
2018-01-01 05:15:00,0.0,2018-01-01 05:15:00,0.0,2018-01-01 05:15:00,0.0,2018-01-01 05:15:00,0.0,0.0
2018-01-01 05:30:00,0.0,2018-01-01 05:30:00,0.0,2018-01-01 05:30:00,0.0,2018-01-01 05:30:00,0.0,0.0
2018-01-01 05:45:00,0.0,2018-01-01 05:45:00,0.0,2018-01-01 05:45:00,0.0,2018-01-01 05:45:00,0.0,0.0
2018-01-01 06:00:00,0.0,2018-01-01 06:00:00,0.0,2018-01-01 06:00:00,0.0,2018-01-01 06:00:00,0.0,0.0
2018-01-01 06:15:00,0.0,2018-01-01 06:15:00,0.0,2018-01-01 06:15:00,0.0,2018-01-01 06:15:00,0.0,0.0
2018-01-01 06:30:00,0.0,2018-01-01 06:30:00,0.0,2018-01-01 06:30:00,0.0,2018-01-01 06:30:00,0.0,0.0
2018-01-01 06:45:00,0.0,2018-01-01 06:45:00,0.0,2018-01-01 06:45:00,0.0,2018-01-01 06:45:00,0.0,0.0
2018-01-01 07:00:00,0.0,2018-01-01 07:00:00,0.0,2018-01-01 07:00:00,0.0,2018-01-01 07:00:00,0.0,0.0
2018-01-01 07:15:00,0.0,2018-01-01 07:15:00,0.0,2018-01-01 07:15:00,0.0,2018-01-01 07:15:00,0.0,0.0
2018-01-01 07:30:00,0.0,2018-01-01 07:30:00,0.0,2018-01-01 07:30:00,0.0,2018-01-01 07:30:00,0.0,0.0
2018-01-01 07:45:00,0.0,2018-01-01 07:45:00,0.0,2018-01-01 07:45:00,0.0,2018-01-01 07:45:00,0.0,0.0
2018-01-01 08:00:00,0.0,2018-01-01 08:00:00,0.0,2018-01-01 08:00:00,0.0,2018-01-01 08:00:00,0.0,0.0
2018-01-01 08:15:00,0.0,2018-01-01 08:15:00,0.0,2018-01-01 08:15:00,0.0,2018-01-01 08:15:00,0.0,0.0
2018-01-01 08:30:00,0.0,2018-01-01 08:30:00,0.0,2018-01-01 08:30:00,0.0,2018-01-01 08:30:00,7.5,7.5
2018-01-01 08:45:00,0.0004,2018-01-01 08:45:00,0.0,2018-01-01 08:45:00,0.0,2018-01-01 08:45:00,12.0,12.0004
