date_1,value_1,date_2,value_2,sum
2018-01-01 00:00:00,85.19999999999999,2018-01-01 00:00:00,2623.0,2708.2
2018-01-01 00:15:00,306.06,2018-01-01 00:15:00,2633.0,2939.06
2018-01-01 00:30:00,305.67,2018-01-01 00:30:00,2618.0,2923.67
2018-01-01 00:45:00,305.28000000000003,2018-01-01 00:45:00,2609.0,2914.28
2018-01-01 01:00:00,306.06,2018-01-01 01:00:00,2648.0,2954.06
2018-01-01 01:15:00,305.46,2018-01-01 01:15:00,2643.0,2948.46
2018-01-01 01:30:00,304.26,2018-01-01 01:30:00,2622.0,2926.26
2018-01-01 01:45:00,303.78000000000003,2018-01-01 01:45:00,2614.0,2917.78
2018-01-01 02:00:00,303.36,2018-01-01 02:00:00,2612.0,2915.36
2018-01-01 02:15:00,302.04,2018-01-01 02:15:00,2608.0,2910.04
2018-01-01 02:30:00,303.24,2018-01-01 02:30:00,2610.0,2913.24
2018-01-01 02:45:00,311.88,2018-01-01 02:45:00,2642.0,2953.88
2018-01-01 03:00:00,310.74,2018-01-01 03:00:00,2639.0,2949.74
2018-01-01 03:15:00,311.21999999999997,2018-01-01 03:15:00,2615.0,2926.22
2018-01-01 03:30:00,310.56,2018-01-01 03:30:00,2610.0,2920.56
2018-01-01 03:45:00,310.32,2018-01-01 03:45:00,2606.0,2916.32
2018-01-01 04:00:00,310.32,2018-01-01 04:00:00,2602.0,2912.32
2018-01-01 04:15:00,308.76,2018-01-01 04:15:00,2610.0,2918.76
2018-01-01 04:30:00,309.65999999999997,2018-01-01 04:30:00,2636.0,2945.66
2018-01-01 04:45:00,309.24,2018-01-01 04:45:00,2642.0,2951.24
2018-01-01 05:00:00,309.48,2018-01-01 05:00:00,2613.0,2922.48
2018-01-01 05:15:00,308.52,2018-01-01 05:15:00,2601.0,2909.52
2018-01-01 05:30:00,308.82,2018-01-01 05:30:00,2622.0,2930.82
2018-01-01 05:45:00,308.46,2018-01-01 05:45:00,2625.0,2933.46
2018-01-01 06:00:00,308.70000000000005,2018-01-01 06:00:00,2637.0,2945.7
2018-01-01 06:15:00,308.21999999999997,2018-01-01 06:15:00,2688.0,2996.22
2018-01-01 06:30:00,307.56,2018-01-01 06:30:00,2720.0,3027.56
2018-01-01 06:45:00,307.56,2018-01-01 06:45:00,2729.0,3036.56
2018-01-01 07:00:00,306.78000000000003,2018-01-01 07:00:00,2691.0,2997.78
2018-01-01 07:15:00,306.6,2018-01-01 07:15:00,2668.0,2974.6
2018-01-01 07:30:00,307.14,2018-01-01 07:30:00,2673.0,2980.14
2018-01-01 07:45:00,306.0,2018-01-01 07:45:00,1381.0,1687.0
2018-01-01 08:00:00,306.24,2018-01-01 08:00:00,1653.0,1959.24
2018-01-01 08:15:00,304.98,2018-01-01 08:15:00,1376.0,1680.98
2018-01-01 08:30:00,297.18,2018-01-01 08:30:00,2567.0,2864.18
2018-01-01 08:45:00,313.86,2018-01-01 08:45:00,2703.0,3016.86
2018-01-01 09:00:00,312.24,2018-01-01 09:00:00,2667.0,2979.24
2018-01-01 09:15:00,311.28000000000003,2018-01-01 09:15:00,2622.0,2933.28
2018-01-01 09:30:00,310.92,2018-01-01 09:30:00,2690.0,3000.92
2018-01-01 09:45:00,311.46,2018-01-01 09:45:00,2708.0,3019.46
2018-01-01 10:00:00,310.38,2018-01-01 10:00:00,2712.0,3022.38
2018-01-01 10:15:00,310.74,2018-01-01 10:15:00,2691.0,3001.74
2018-01-01 10:30:00,310.38,2018-01-01 10:30:00,2672.0,2982.38
2018-01-01 10:45:00,309.24,2018-01-01 10:45:00,2682.0,2991.24
2018-01-01 11:00:00,309.65999999999997,2018-01-01 11:00:00,2719.0,3028.66
2018-01-01 11:15:00,310.14,2018-01-01 11:15:00,2712.0,3022.14
2018-01-01 11:30:00,308.4,2018-01-01 11:30:00,2719.0,3027.4
2018-01-01 11:45:00,309.48,2018-01-01 11:45:00,2725.0,3034.48
2018-01-01 12:00:00,310.02,2018-01-01 12:00:00,2717.0,3027.02
2018-01-01 12:15:00,308.52,2018-01-01 12:15:00,2721.0,3029.52
2018-01-01 12:30:00,311.04,2018-01-01 12:30:00,2728.0,3039.04
2018-01-01 12:45:00,310.74,2018-01-01 12:45:00,2733.0,3043.74
2018-01-01 13:00:00,310.79999999999995,2018-01-01 13:00:00,2740.0,3050.8
2018-01-01 13:15:00,310.44,2018-01-01 13:15:00,2749.0,3059.44
2018-01-01 13:30:00,309.54,2018-01-01 13:30:00,2751.0,3060.54
2018-01-01 13:45:00,309.6,2018-01-01 13:45:00,2704.0,3013.6
2018-01-01 14:00:00,309.65999999999997,2018-01-01 14:00:00,2674.0,2983.66
2018-01-01 14:15:00,309.24,2018-01-01 14:15:00,2685.0,2994.24
2018-01-01 14:30:00,308.76,2018-01-01 14:30:00,2696.0,3004.76
2018-01-01 14:45:00,307.92,2018-01-01 14:45:00,2706.0,3013.92
2018-01-01 15:00:00,307.98,2018-01-01 15:00:00,2715.0,3022.98
2018-01-01 15:15:00,307.56,2018-01-01 15:15:00,2711.0,3018.56
2018-01-01 15:30:00,307.74,2018-01-01 15:30:00,2663.0,2970.74
2018-01-01 15:45:00,307.38,2018-01-01 15:45:00,2665.0,2972.38
2018-01-01 16:00:00,306.54,2018-01-01 16:00:00,2686.0,2992.54
2018-01-01 16:15:00,306.84000000000003,2018-01-01 16:15:00,2695.0,3001.84
2018-01-01 16:30:00,305.46,2018-01-01 16:30:00,2658.0,2963.46
2018-01-01 16:45:00,305.46,2018-01-01 16:45:00,2604.0,2909.46
2018-01-01 17:00:00,305.76,2018-01-01 17:00:00,2633.0,2938.76
2018-01-01 17:15:00,305.28000000000003,2018-01-01 17:15:00,2651.0,2956.28
2018-01-01 17:30:00,304.32,2018-01-01 17:30:00,2657.0,2961.32
2018-01-01 17:45:00,304.44,2018-01-01 17:45:00,2632.0,2936.44
2018-01-01 18:00:00,303.48,2018-01-01 18:00:00,2613.0,2916.48
2018-01-01 18:15:00,303.24,2018-01-01 18:15:00,2631.0,2934.24
2018-01-01 18:30:00,303.0,2018-01-01 18:30:00,2643.0,2946.0
2018-01-01 18:45:00,303.18,2018-01-01 18:45:00,2648.0,2951.18
2018-01-01 19:00:00,302.52,2018-01-01 19:00:00,2644.0,2946.52
2018-01-01 19:15:00,301.98,2018-01-01 19:15:00,2614.0,2915.98
2018-01-01 19:30:00,301.5,2018-01-01 19:30:00,2618.0,2919.5
2018-01-01 19:45:00,301.08,2018-01-01 19:45:00,2632.0,2933.08
2018-01-01 20:00:00,301.62,2018-01-01 20:00:00,2650.0,2951.62
2018-01-01 20:15:00,300.96,2018-01-01 20:15:00,2668.0,2968.96
2018-01-01 20:30:00,293.52,2018-01-01 20:30:00,2643.0,2936.52
2018-01-01 20:45:00,313.98,2018-01-01 20:45:00,2632.0,2945.98
2018-01-01 21:00:00,313.92,2018-01-01 21:00:00,2632.0,2945.92
2018-01-01 21:15:00,312.29999999999995,2018-01-01 21:15:00,2653.0,2965.3
2018-01-01 21:30:00,312.12,2018-01-01 21:30:00,2663.0,2975.12
2018-01-01 21:45:00,311.76,2018-01-01 21:45:00,2661.0,2972.76
2018-01-01 22:00:00,311.4,2018-01-01 22:00:00,2659.0,2970.4
2018-01-01 22:15:00,311.4,2018-01-01 22:15:00,2655.0,2966.4
2018-01-01 22:30:00,311.52,2018-01-01 22:30:00,2678.0,2989.52
2018-01-01 22:45:00,310.74,2018-01-01 22:45:00,2712.0,3022.74
2018-01-01 23:00:00,310.44,2018-01-01 23:00:00,2718.0,3028.44
2018-01-01 23:15:00,309.9,2018-01-01 23:15:00,2664.0,2973.9
2018-01-01 23:30:00,308.94,2018-01-01 23:30:00,2649.0,2957.94
2018-01-01 23:45:00,308.46,2018-01-01 23:45:00,2680.0,2988.46
2018-01-02 00:00:00,308.94,2018-01-02 00:00:00,2701.0,3009.94
2018-01-02 00:15:00,308.52,2018-01-02 00:15:00,2682.0,2990.52
2018-01-02 00:30:00,308.1,2018-01-02 00:30:00,2670.0,2978.1
2018-01-02 00:45:00,308.1,2018-01-02 00:45:00,2667.0,2975.1
2018-01-02 01:00:00,307.92,2018-01-02 01:00:00,2650.0,2957.92
2018-01-02 01:15:00,308.04,2018-01-02 01:15:00,2670.0,2978.04
2018-01-02 01:30:00,307.26,2018-01-02 01:30:00,2679.0,2986.26
2018-01-02 01:45:00,307.20000000000005,2018-01-02 01:45:00,2680.0,2987.2
2018-01-02 02:00:00,306.06,2018-01-02 02:00:00,2659.0,2965.06
2018-01-02 02:15:00,305.88,2018-01-02 02:15:00,2659.0,2964.88
2018-01-02 02:30:00,307.5,2018-01-02 02:30:00,2673.0,2980.5
2018-01-02 02:45:00,302.82,2018-01-02 02:45:00,2685.0,2987.82
2018-01-02 03:00:00,302.1,2018-01-02 03:00:00,2693.0,2995.1
2018-01-02 03:15:00,301.26,2018-01-02 03:15:00,2692.0,2993.26
2018-01-02 03:30:00,300.71999999999997,2018-01-02 03:30:00,2690.0,2990.72
2018-01-02 03:45:00,300.54,2018-01-02 03:45:00,2688.0,2988.54
2018-01-02 04:00:00,300.0,2018-01-02 04:00:00,2686.0,2986.0
2018-01-02 04:15:00,299.88,2018-01-02 04:15:00,2689.0,2988.88
2018-01-02 04:30:00,299.15999999999997,2018-01-02 04:30:00,2688.0,2987.16
2018-01-02 04:45:00,296.94,2018-01-02 04:45:00,2687.0,2983.94
2018-01-02 05:00:00,297.24,2018-01-02 05:00:00,2682.0,2979.24
2018-01-02 05:15:00,296.52,2018-01-02 05:15:00,2654.0,2950.52
2018-01-02 05:30:00,294.9,2018-01-02 05:30:00,2647.0,2941.9
2018-01-02 05:45:00,295.5,2018-01-02 05:45:00,2646.0,2941.5
2018-01-02 06:00:00,294.96,2018-01-02 06:00:00,2642.0,2936.96
2018-01-02 06:15:00,294.48,2018-01-02 06:15:00,2607.0,2901.48
2018-01-02 06:30:00,293.94,2018-01-02 06:30:00,2610.0,2903.94
2018-01-02 06:45:00,293.28000000000003,2018-01-02 06:45:00,2621.0,2914.28
2018-01-02 07:00:00,292.26,2018-01-02 07:00:00,2621.0,2913.26
2018-01-02 07:15:00,291.65999999999997,2018-01-02 07:15:00,2625.0,2916.66
2018-01-02 07:30:00,291.18,2018-01-02 07:30:00,2617.0,2908.18
2018-01-02 07:45:00,290.46,2018-01-02 07:45:00,2202.0,2492.46
2018-01-02 08:00:00,290.76,2018-01-02 08:00:00,1318.0,1608.76
2018-01-02 08:15:00,289.98,2018-01-02 08:15:00,2161.0,2450.98
2018-01-02 08:30:00,282.24,2018-01-02 08:30:00,2686.0,2968.24
2018-01-02 08:45:00,313.56,2018-01-02 08:45:00,2740.0,3053.56
2018-01-02 09:00:00,313.74,2018-01-02 09:00:00,2702.0,3015.74
2018-01-02 09:15:00,312.48,2018-01-02 09:15:00,2617.0,2929.48
2018-01-02 09:30:00,311.76,2018-01-02 09:30:00,2695.0,3006.76
