date,value
23/08/2019 00:00:00,74
23/08/2019 00:15:00,73
23/08/2019 00:30:00,63
23/08/2019 00:45:00,55
23/08/2019 01:00:00,54
23/08/2019 01:15:00,53
23/08/2019 01:30:00,51
23/08/2019 01:45:00,52
23/08/2019 02:00:00,45
23/08/2019 02:15:00,40
23/08/2019 02:30:00,37
23/08/2019 02:45:00,35
23/08/2019 03:00:00,34
23/08/2019 03:15:00,32
23/08/2019 03:30:00,28
23/08/2019 03:45:00,28
23/08/2019 04:00:00,28
23/08/2019 04:15:00,30
23/08/2019 04:30:00,29
23/08/2019 04:45:00,26
23/08/2019 05:00:00,25
23/08/2019 05:15:00,26
23/08/2019 05:30:00,26
23/08/2019 05:45:00,25
23/08/2019 06:00:00,23
23/08/2019 06:15:00,18
23/08/2019 06:30:00,13
23/08/2019 06:45:00,10
23/08/2019 07:00:00,5
23/08/2019 07:15:00,4
23/08/2019 07:30:00,4
23/08/2019 07:45:00,4
23/08/2019 08:00:00,6
23/08/2019 08:15:00,7
23/08/2019 08:30:00,9
23/08/2019 08:45:00,11
23/08/2019 09:00:00,13
23/08/2019 09:15:00,16
23/08/2019 09:30:00,17
23/08/2019 09:45:00,16
23/08/2019 10:00:00,16
23/08/2019 10:15:00,15
23/08/2019 10:30:00,14
23/08/2019 10:45:00,14
23/08/2019 11:00:00,15
23/08/2019 11:15:00,14
23/08/2019 11:30:00,12
23/08/2019 11:45:00,13
23/08/2019 12:00:00,12
23/08/2019 12:15:00,11
23/08/2019 12:30:00,11
23/08/2019 12:45:00,10
23/08/2019 13:00:00,10
23/08/2019 13:15:00,9
23/08/2019 13:30:00,10
23/08/2019 13:45:00,10
23/08/2019 14:00:00,10
23/08/2019 14:15:00,10
23/08/2019 14:30:00,12
23/08/2019 14:45:00,13
23/08/2019 15:00:00,14
23/08/2019 15:15:00,16
23/08/2019 15:30:00,15
23/08/2019 15:45:00,16
23/08/2019 16:00:00,16
23/08/2019 16:15:00,15
23/08/2019 16:30:00,15
23/08/2019 16:45:00,19
23/08/2019 17:00:00,19
23/08/2019 17:15:00,20
23/08/2019 17:30:00,22
23/08/2019 17:45:00,28
23/08/2019 18:00:00,31
23/08/2019 18:15:00,36
23/08/2019 18:30:00,41
23/08/2019 18:45:00,46
23/08/2019 19:00:00,58
23/08/2019 19:15:00,65
23/08/2019 19:30:00,65
23/08/2019 19:45:00,66
23/08/2019 20:00:00,63
23/08/2019 20:15:00,61
23/08/2019 20:30:00,64
23/08/2019 20:45:00,65
23/08/2019 21:00:00,67
23/08/2019 21:15:00,66
23/08/2019 21:30:00,68
23/08/2019 21:45:00,68
23/08/2019 22:00:00,63
23/08/2019 22:15:00,61
23/08/2019 22:30:00,57
23/08/2019 22:45:00,52
23/08/2019 23:00:00,51
23/08/2019 23:15:00,49
23/08/2019 23:30:00,45
23/08/2019 23:45:00,40
24/08/2019 00:00:00,37
24/08/2019 00:15:00,38
24/08/2019 00:30:00,35
24/08/2019 00:45:00,35
24/08/2019 01:00:00,31
24/08/2019 01:15:00,32
24/08/2019 01:30:00,30
24/08/2019 01:45:00,29
24/08/2019 02:00:00,28
24/08/2019 02:15:00,28
24/08/2019 02:30:00,27
24/08/2019 02:45:00,27
24/08/2019 03:00:00,28
24/08/2019 03:15:00,30
24/08/2019 03:30:00,30
24/08/2019 03:45:00,32
24/08/2019 04:00:00,33
24/08/2019 04:15:00,33
24/08/2019 04:30:00,33
24/08/2019 04:45:00,33
24/08/2019 05:00:00,34
24/08/2019 05:15:00,33
24/08/2019 05:30:00,35
24/08/2019 05:45:00,32
24/08/2019 06:00:00,29
24/08/2019 06:15:00,22
24/08/2019 06:30:00,17
24/08/2019 06:45:00,13
24/08/2019 07:00:00,9
24/08/2019 07:15:00,8
24/08/2019 07:30:00,8
24/08/2019 07:45:00,9
24/08/2019 08:00:00,12
24/08/2019 08:15:00,16
24/08/2019 08:30:00,21
24/08/2019 08:45:00,27
24/08/2019 09:00:00,34
24/08/2019 09:15:00,40
24/08/2019 09:30:00,47
24/08/2019 09:45:00,54
24/08/2019 10:00:00,57
24/08/2019 10:15:00,59
24/08/2019 10:30:00,56
24/08/2019 10:45:00,61
24/08/2019 11:00:00,61
24/08/2019 11:15:00,60
24/08/2019 11:30:00,63
24/08/2019 11:45:00,59
24/08/2019 12:00:00,59
24/08/2019 12:15:00,63
24/08/2019 12:30:00,61
24/08/2019 12:45:00,68
24/08/2019 13:00:00,66
24/08/2019 13:15:00,69
24/08/2019 13:30:00,75
24/08/2019 13:45:00,74
24/08/2019 14:00:00,73
24/08/2019 14:15:00,74
24/08/2019 14:30:00,76
24/08/2019 14:45:00,79
24/08/2019 15:00:00,79
24/08/2019 15:15:00,80
24/08/2019 15:30:00,80
24/08/2019 15:45:00,82
24/08/2019 16:00:00,83
24/08/2019 16:15:00,77
24/08/2019 16:30:00,81
24/08/2019 16:45:00,78
24/08/2019 17:00:00,80
24/08/2019 17:15:00,79
24/08/2019 17:30:00,77
24/08/2019 17:45:00,75
24/08/2019 18:00:00,74
24/08/2019 18:15:00,79
24/08/2019 18:30:00,87
24/08/2019 18:45:00,90
24/08/2019 19:00:00,98
24/08/2019 19:15:00,109
24/08/2019 19:30:00,114
24/08/2019 19:45:00,117
24/08/2019 20:00:00,121
24/08/2019 20:15:00,122
24/08/2019 20:30:00,125
24/08/2019 20:45:00,125
24/08/2019 21:00:00,123
24/08/2019 21:15:00,119
24/08/2019 21:30:00,118
24/08/2019 21:45:00,118
24/08/2019 22:00:00,112
24/08/2019 22:15:00,107
24/08/2019 22:30:00,104
24/08/2019 22:45:00,104
24/08/2019 23:00:00,99
24/08/2019 23:15:00,95
24/08/2019 23:30:00,95
24/08/2019 23:45:00,96
25/08/2019 00:00:00,93
25/08/2019 00:15:00,88
25/08/2019 00:30:00,85
25/08/2019 00:45:00,81
25/08/2019 01:00:00,76
25/08/2019 01:15:00,80
25/08/2019 01:30:00,81
25/08/2019 01:45:00,76
25/08/2019 02:00:00,73
25/08/2019 02:15:00,73
25/08/2019 02:30:00,73
25/08/2019 02:45:00,73
25/08/2019 03:00:00,73
25/08/2019 03:15:00,73
25/08/2019 03:30:00,72
25/08/2019 03:45:00,72
25/08/2019 04:00:00,75
25/08/2019 04:15:00,78
25/08/2019 04:30:00,78
25/08/2019 04:45:00,75
25/08/2019 05:00:00,73
25/08/2019 05:15:00,67
25/08/2019 05:30:00,65
25/08/2019 05:45:00,65
25/08/2019 06:00:00,61
25/08/2019 06:15:00,49
25/08/2019 06:30:00,39
25/08/2019 06:45:00,36
25/08/2019 07:00:00,35
25/08/2019 07:15:00,36
25/08/2019 07:30:00,38
25/08/2019 07:45:00,36
25/08/2019 08:00:00,32
25/08/2019 08:15:00,37
25/08/2019 08:30:00,45
25/08/2019 08:45:00,50
25/08/2019 09:00:00,54
25/08/2019 09:15:00,59
25/08/2019 09:30:00,69
25/08/2019 09:45:00,78
25/08/2019 10:00:00,77
25/08/2019 10:15:00,75
25/08/2019 10:30:00,76
25/08/2019 10:45:00,76
25/08/2019 11:00:00,74
25/08/2019 11:15:00,71
25/08/2019 11:30:00,69
25/08/2019 11:45:00,67
25/08/2019 12:00:00,69
25/08/2019 12:15:00,71
25/08/2019 12:30:00,71
25/08/2019 12:45:00,65
25/08/2019 13:00:00,63
25/08/2019 13:15:00,61
25/08/2019 13:30:00,60
25/08/2019 13:45:00,62
25/08/2019 14:00:00,59
25/08/2019 14:15:00,60
25/08/2019 14:30:00,60
25/08/2019 14:45:00,62
25/08/2019 15:00:00,63
25/08/2019 15:15:00,66
25/08/2019 15:30:00,63
25/08/2019 15:45:00,71
25/08/2019 16:00:00,81
25/08/2019 16:15:00,81
25/08/2019 16:30:00,84
25/08/2019 16:45:00,81
25/08/2019 17:00:00,77
25/08/2019 17:15:00,75
25/08/2019 17:30:00,73
25/08/2019 17:45:00,77
25/08/2019 18:00:00,83
25/08/2019 18:15:00,87
25/08/2019 18:30:00,95
25/08/2019 18:45:00,101
25/08/2019 19:00:00,110
25/08/2019 19:15:00,115
25/08/2019 19:30:00,129
25/08/2019 19:45:00,137
25/08/2019 20:00:00,137
25/08/2019 20:15:00,136
25/08/2019 20:30:00,130
25/08/2019 20:45:00,127
25/08/2019 21:00:00,121
25/08/2019 21:15:00,115
25/08/2019 21:30:00,111
25/08/2019 21:45:00,108
25/08/2019 22:00:00,103
25/08/2019 22:15:00,96
25/08/2019 22:30:00,93
25/08/2019 22:45:00,88
25/08/2019 23:00:00,86
25/08/2019 23:15:00,82
25/08/2019 23:30:00,80
25/08/2019 23:45:00,77
26/08/2019 00:00:00,72
26/08/2019 00:15:00,66
26/08/2019 00:30:00,59
26/08/2019 00:45:00,54
26/08/2019 01:00:00,48
26/08/2019 01:15:00,46
26/08/2019 01:30:00,45
26/08/2019 01:45:00,43
26/08/2019 02:00:00,42
26/08/2019 02:15:00,36
26/08/2019 02:30:00,34
26/08/2019 02:45:00,35
26/08/2019 03:00:00,34
26/08/2019 03:15:00,32
26/08/2019 03:30:00,31
26/08/2019 03:45:00,29
26/08/2019 04:00:00,28
26/08/2019 04:15:00,29
26/08/2019 04:30:00,29
26/08/2019 04:45:00,29
26/08/2019 05:00:00,28
26/08/2019 05:15:00,28
26/08/2019 05:30:00,26
26/08/2019 05:45:00,23
26/08/2019 06:00:00,22
26/08/2019 06:15:00,19
26/08/2019 06:30:00,13
26/08/2019 06:45:00,10
26/08/2019 07:00:00,7
26/08/2019 07:15:00,5
26/08/2019 07:30:00,5
26/08/2019 07:45:00,6
26/08/2019 08:00:00,6
26/08/2019 08:15:00,7
26/08/2019 08:30:00,9
26/08/2019 08:45:00,10
26/08/2019 09:00:00,14
26/08/2019 09:15:00,17
26/08/2019 09:30:00,22
26/08/2019 09:45:00,25
26/08/2019 10:00:00,27
26/08/2019 10:15:00,29
26/08/2019 10:30:00,31
26/08/2019 10:45:00,32
26/08/2019 11:00:00,33
26/08/2019 11:15:00,33
26/08/2019 11:30:00,29
26/08/2019 11:45:00,30
26/08/2019 12:00:00,30
26/08/2019 12:15:00,33
26/08/2019 12:30:00,33
26/08/2019 12:45:00,30
26/08/2019 13:00:00,33
26/08/2019 13:15:00,33
26/08/2019 13:30:00,31
26/08/2019 13:45:00,35
26/08/2019 14:00:00,38
26/08/2019 14:15:00,37
26/08/2019 14:30:00,37
26/08/2019 14:45:00,38
26/08/2019 15:00:00,41
26/08/2019 15:15:00,44
26/08/2019 15:30:00,52
26/08/2019 15:45:00,88
26/08/2019 16:00:00,79
26/08/2019 16:15:00,64
26/08/2019 16:30:00,69
26/08/2019 16:45:00,69
26/08/2019 17:00:00,71
26/08/2019 17:15:00,80
26/08/2019 17:30:00,62
26/08/2019 17:45:00,56
26/08/2019 18:00:00,59
26/08/2019 18:15:00,67
26/08/2019 18:30:00,71
26/08/2019 18:45:00,74
26/08/2019 19:00:00,67
26/08/2019 19:15:00,62
26/08/2019 19:30:00,66
26/08/2019 19:45:00,64
26/08/2019 20:00:00,59
26/08/2019 20:15:00,50
26/08/2019 20:30:00,53
26/08/2019 20:45:00,56
26/08/2019 21:00:00,55
26/08/2019 21:15:00,52
26/08/2019 21:30:00,48
26/08/2019 21:45:00,47
26/08/2019 22:00:00,47
26/08/2019 22:15:00,46
26/08/2019 22:30:00,47
26/08/2019 22:45:00,49
26/08/2019 23:00:00,50
26/08/2019 23:15:00,51
26/08/2019 23:30:00,48
26/08/2019 23:45:00,42
27/08/2019 00:00:00,39
27/08/2019 00:15:00,38
27/08/2019 00:30:00,36
27/08/2019 00:45:00,36
27/08/2019 01:00:00,34
27/08/2019 01:15:00,31
27/08/2019 01:30:00,31
27/08/2019 01:45:00,30
27/08/2019 02:00:00,31
27/08/2019 02:15:00,34
27/08/2019 02:30:00,31
27/08/2019 02:45:00,31
27/08/2019 03:00:00,27
27/08/2019 03:15:00,34
27/08/2019 03:30:00,42
27/08/2019 03:45:00,43
27/08/2019 04:00:00,43
27/08/2019 04:15:00,42
27/08/2019 04:30:00,42
27/08/2019 04:45:00,41
27/08/2019 05:00:00,42
27/08/2019 05:15:00,41
27/08/2019 05:30:00,44
27/08/2019 05:45:00,43
27/08/2019 06:00:00,38
27/08/2019 06:15:00,31
27/08/2019 06:30:00,27
27/08/2019 06:45:00,24
27/08/2019 07:00:00,18
27/08/2019 07:15:00,16
27/08/2019 07:30:00,12
27/08/2019 07:45:00,12
27/08/2019 08:00:00,11
27/08/2019 08:15:00,12
27/08/2019 08:30:00,13
27/08/2019 08:45:00,16
27/08/2019 09:00:00,18
27/08/2019 09:15:00,22
27/08/2019 09:30:00,27
