date,value
23/08/2019 00:00:00,5
23/08/2019 00:15:00,5
23/08/2019 00:30:00,6
23/08/2019 00:45:00,7
23/08/2019 01:00:00,6
23/08/2019 01:15:00,5
23/08/2019 01:30:00,5
23/08/2019 01:45:00,5
23/08/2019 02:00:00,5
23/08/2019 02:15:00,5
23/08/2019 02:30:00,4
23/08/2019 02:45:00,4
23/08/2019 03:00:00,4
23/08/2019 03:15:00,4
23/08/2019 03:30:00,4
23/08/2019 03:45:00,5
23/08/2019 04:00:00,6
23/08/2019 04:15:00,6
23/08/2019 04:30:00,5
23/08/2019 04:45:00,7
23/08/2019 05:00:00,8
23/08/2019 05:15:00,8
23/08/2019 05:30:00,9
23/08/2019 05:45:00,9
23/08/2019 06:00:00,9
23/08/2019 06:15:00,8
23/08/2019 06:30:00,8
23/08/2019 06:45:00,7
23/08/2019 07:00:00,6
23/08/2019 07:15:00,6
23/08/2019 07:30:00,4
23/08/2019 07:45:00,3
23/08/2019 08:00:00,3
23/08/2019 08:15:00,3
23/08/2019 08:30:00,4
23/08/2019 08:45:00,5
23/08/2019 09:00:00,8
23/08/2019 09:15:00,9
23/08/2019 09:30:00,11
23/08/2019 09:45:00,12
23/08/2019 10:00:00,12
23/08/2019 10:15:00,13
23/08/2019 10:30:00,12
23/08/2019 10:45:00,12
23/08/2019 11:00:00,13
23/08/2019 11:15:00,11
23/08/2019 11:30:00,11
23/08/2019 11:45:00,12
23/08/2019 12:00:00,10
23/08/2019 12:15:00,11
23/08/2019 12:30:00,10
23/08/2019 12:45:00,13
23/08/2019 13:00:00,12
23/08/2019 13:15:00,13
23/08/2019 13:30:00,13
23/08/2019 13:45:00,14
23/08/2019 14:00:00,13
23/08/2019 14:15:00,13
23/08/2019 14:30:00,14
23/08/2019 14:45:00,15
23/08/2019 15:00:00,16
23/08/2019 15:15:00,16
23/08/2019 15:30:00,19
23/08/2019 15:45:00,20
23/08/2019 16:00:00,23
23/08/2019 16:15:00,24
23/08/2019 16:30:00,25
23/08/2019 16:45:00,27
23/08/2019 17:00:00,27
23/08/2019 17:15:00,27
23/08/2019 17:30:00,27
23/08/2019 17:45:00,28
23/08/2019 18:00:00,32
23/08/2019 18:15:00,38
23/08/2019 18:30:00,42
23/08/2019 18:45:00,47
23/08/2019 19:00:00,51
23/08/2019 19:15:00,57
23/08/2019 19:30:00,61
23/08/2019 19:45:00,62
23/08/2019 20:00:00,66
23/08/2019 20:15:00,70
23/08/2019 20:30:00,75
23/08/2019 20:45:00,77
23/08/2019 21:00:00,76
23/08/2019 21:15:00,72
23/08/2019 21:30:00,72
23/08/2019 21:45:00,69
23/08/2019 22:00:00,66
23/08/2019 22:15:00,67
23/08/2019 22:30:00,66
23/08/2019 22:45:00,69
23/08/2019 23:00:00,68
23/08/2019 23:15:00,65
23/08/2019 23:30:00,61
23/08/2019 23:45:00,64
24/08/2019 00:00:00,62
24/08/2019 00:15:00,60
24/08/2019 00:30:00,55
24/08/2019 00:45:00,55
24/08/2019 01:00:00,54
24/08/2019 01:15:00,52
24/08/2019 01:30:00,51
24/08/2019 01:45:00,50
24/08/2019 02:00:00,49
24/08/2019 02:15:00,45
24/08/2019 02:30:00,44
24/08/2019 02:45:00,45
24/08/2019 03:00:00,45
24/08/2019 03:15:00,43
24/08/2019 03:30:00,45
24/08/2019 03:45:00,46
24/08/2019 04:00:00,45
24/08/2019 04:15:00,47
24/08/2019 04:30:00,50
24/08/2019 04:45:00,50
24/08/2019 05:00:00,51
24/08/2019 05:15:00,51
24/08/2019 05:30:00,53
24/08/2019 05:45:00,51
24/08/2019 06:00:00,47
24/08/2019 06:15:00,43
24/08/2019 06:30:00,39
24/08/2019 06:45:00,31
24/08/2019 07:00:00,23
24/08/2019 07:15:00,17
24/08/2019 07:30:00,15
24/08/2019 07:45:00,13
24/08/2019 08:00:00,12
24/08/2019 08:15:00,13
24/08/2019 08:30:00,13
24/08/2019 08:45:00,15
24/08/2019 09:00:00,20
24/08/2019 09:15:00,22
24/08/2019 09:30:00,23
24/08/2019 09:45:00,24
24/08/2019 10:00:00,23
24/08/2019 10:15:00,24
24/08/2019 10:30:00,24
24/08/2019 10:45:00,25
24/08/2019 11:00:00,24
24/08/2019 11:15:00,26
24/08/2019 11:30:00,26
24/08/2019 11:45:00,24
24/08/2019 12:00:00,25
24/08/2019 12:15:00,23
24/08/2019 12:30:00,24
24/08/2019 12:45:00,24
24/08/2019 13:00:00,23
24/08/2019 13:15:00,25
24/08/2019 13:30:00,24
24/08/2019 13:45:00,25
24/08/2019 14:00:00,25
24/08/2019 14:15:00,26
24/08/2019 14:30:00,27
24/08/2019 14:45:00,28
24/08/2019 15:00:00,27
24/08/2019 15:15:00,25
24/08/2019 15:30:00,28
24/08/2019 15:45:00,26
24/08/2019 16:00:00,27
24/08/2019 16:15:00,25
24/08/2019 16:30:00,24
24/08/2019 16:45:00,22
24/08/2019 17:00:00,22
24/08/2019 17:15:00,21
24/08/2019 17:30:00,21
24/08/2019 17:45:00,22
24/08/2019 18:00:00,26
24/08/2019 18:15:00,30
24/08/2019 18:30:00,31
24/08/2019 18:45:00,34
24/08/2019 19:00:00,34
24/08/2019 19:15:00,37
24/08/2019 19:30:00,40
24/08/2019 19:45:00,40
24/08/2019 20:00:00,40
24/08/2019 20:15:00,40
24/08/2019 20:30:00,38
24/08/2019 20:45:00,36
24/08/2019 21:00:00,35
24/08/2019 21:15:00,34
24/08/2019 21:30:00,34
24/08/2019 21:45:00,33
24/08/2019 22:00:00,31
24/08/2019 22:15:00,31
24/08/2019 22:30:00,31
24/08/2019 22:45:00,31
24/08/2019 23:00:00,31
24/08/2019 23:15:00,31
24/08/2019 23:30:00,27
24/08/2019 23:45:00,28
25/08/2019 00:00:00,29
25/08/2019 00:15:00,29
25/08/2019 00:30:00,29
25/08/2019 00:45:00,30
25/08/2019 01:00:00,28
25/08/2019 01:15:00,27
25/08/2019 01:30:00,28
25/08/2019 01:45:00,26
25/08/2019 02:00:00,22
25/08/2019 02:15:00,20
25/08/2019 02:30:00,19
25/08/2019 02:45:00,18
25/08/2019 03:00:00,19
25/08/2019 03:15:00,19
25/08/2019 03:30:00,17
25/08/2019 03:45:00,16
25/08/2019 04:00:00,15
25/08/2019 04:15:00,14
25/08/2019 04:30:00,16
25/08/2019 04:45:00,17
25/08/2019 05:00:00,17
25/08/2019 05:15:00,16
25/08/2019 05:30:00,16
25/08/2019 05:45:00,15
25/08/2019 06:00:00,14
25/08/2019 06:15:00,15
25/08/2019 06:30:00,12
25/08/2019 06:45:00,8
25/08/2019 07:00:00,6
25/08/2019 07:15:00,4
25/08/2019 07:30:00,2
25/08/2019 07:45:00,1
25/08/2019 08:00:00,1
25/08/2019 08:15:00,1
25/08/2019 08:30:00,1
25/08/2019 08:45:00,1
25/08/2019 09:00:00,2
25/08/2019 09:15:00,3
25/08/2019 09:30:00,3
25/08/2019 09:45:00,3
25/08/2019 10:00:00,4
25/08/2019 10:15:00,4
25/08/2019 10:30:00,4
25/08/2019 10:45:00,3
25/08/2019 11:00:00,3
25/08/2019 11:15:00,2
25/08/2019 11:30:00,3
25/08/2019 11:45:00,3
25/08/2019 12:00:00,3
25/08/2019 12:15:00,4
25/08/2019 12:30:00,2
25/08/2019 12:45:00,3
25/08/2019 13:00:00,3
25/08/2019 13:15:00,2
25/08/2019 13:30:00,2
25/08/2019 13:45:00,3
25/08/2019 14:00:00,3
25/08/2019 14:15:00,2
25/08/2019 14:30:00,3
25/08/2019 14:45:00,3
25/08/2019 15:00:00,4
25/08/2019 15:15:00,5
25/08/2019 15:30:00,5
25/08/2019 15:45:00,6
25/08/2019 16:00:00,7
25/08/2019 16:15:00,9
25/08/2019 16:30:00,11
25/08/2019 16:45:00,11
25/08/2019 17:00:00,13
25/08/2019 17:15:00,13
25/08/2019 17:30:00,14
25/08/2019 17:45:00,16
25/08/2019 18:00:00,22
25/08/2019 18:15:00,23
25/08/2019 18:30:00,23
25/08/2019 18:45:00,28
25/08/2019 19:00:00,29
25/08/2019 19:15:00,32
25/08/2019 19:30:00,34
25/08/2019 19:45:00,37
25/08/2019 20:00:00,38
25/08/2019 20:15:00,36
25/08/2019 20:30:00,37
25/08/2019 20:45:00,35
25/08/2019 21:00:00,34
25/08/2019 21:15:00,34
25/08/2019 21:30:00,30
25/08/2019 21:45:00,27
25/08/2019 22:00:00,28
25/08/2019 22:15:00,28
25/08/2019 22:30:00,25
25/08/2019 22:45:00,23
25/08/2019 23:00:00,21
25/08/2019 23:15:00,19
25/08/2019 23:30:00,16
25/08/2019 23:45:00,15
26/08/2019 00:00:00,13
26/08/2019 00:15:00,12
26/08/2019 00:30:00,12
26/08/2019 00:45:00,11
26/08/2019 01:00:00,12
26/08/2019 01:15:00,12
26/08/2019 01:30:00,12
26/08/2019 01:45:00,10
26/08/2019 02:00:00,10
26/08/2019 02:15:00,10
26/08/2019 02:30:00,10
26/08/2019 02:45:00,10
26/08/2019 03:00:00,9
26/08/2019 03:15:00,11
26/08/2019 03:30:00,11
26/08/2019 03:45:00,11
26/08/2019 04:00:00,9
26/08/2019 04:15:00,9
26/08/2019 04:30:00,11
26/08/2019 04:45:00,11
26/08/2019 05:00:00,10
26/08/2019 05:15:00,11
26/08/2019 05:30:00,11
26/08/2019 05:45:00,11
26/08/2019 06:00:00,10
26/08/2019 06:15:00,9
26/08/2019 06:30:00,8
26/08/2019 06:45:00,6
26/08/2019 07:00:00,5
26/08/2019 07:15:00,4
26/08/2019 07:30:00,3
26/08/2019 07:45:00,3
26/08/2019 08:00:00,4
26/08/2019 08:15:00,4
26/08/2019 08:30:00,5
26/08/2019 08:45:00,5
26/08/2019 09:00:00,6
26/08/2019 09:15:00,8
26/08/2019 09:30:00,7
26/08/2019 09:45:00,7
26/08/2019 10:00:00,8
26/08/2019 10:15:00,8
26/08/2019 10:30:00,8
26/08/2019 10:45:00,8
26/08/2019 11:00:00,8
26/08/2019 11:15:00,7
26/08/2019 11:30:00,8
26/08/2019 11:45:00,8
26/08/2019 12:00:00,8
26/08/2019 12:15:00,8
26/08/2019 12:30:00,11
26/08/2019 12:45:00,12
26/08/2019 13:00:00,15
26/08/2019 13:15:00,13
26/08/2019 13:30:00,13
26/08/2019 13:45:00,13
26/08/2019 14:00:00,13
26/08/2019 14:15:00,13
26/08/2019 14:30:00,13
26/08/2019 14:45:00,14
26/08/2019 15:00:00,14
26/08/2019 15:15:00,11
26/08/2019 15:30:00,11
26/08/2019 15:45:00,9
26/08/2019 16:00:00,8
26/08/2019 16:15:00,9
26/08/2019 16:30:00,9
26/08/2019 16:45:00,8
26/08/2019 17:00:00,9
26/08/2019 17:15:00,11
26/08/2019 17:30:00,9
26/08/2019 17:45:00,9
26/08/2019 18:00:00,9
26/08/2019 18:15:00,11
26/08/2019 18:30:00,14
26/08/2019 18:45:00,19
26/08/2019 19:00:00,21
26/08/2019 19:15:00,23
26/08/2019 19:30:00,22
26/08/2019 19:45:00,22
26/08/2019 20:00:00,22
26/08/2019 20:15:00,25
26/08/2019 20:30:00,27
26/08/2019 20:45:00,26
26/08/2019 21:00:00,24
26/08/2019 21:15:00,22
26/08/2019 21:30:00,21
26/08/2019 21:45:00,22
26/08/2019 22:00:00,22
26/08/2019 22:15:00,22
26/08/2019 22:30:00,23
26/08/2019 22:45:00,23
26/08/2019 23:00:00,24
26/08/2019 23:15:00,25
26/08/2019 23:30:00,24
26/08/2019 23:45:00,23
27/08/2019 00:00:00,21
27/08/2019 00:15:00,20
27/08/2019 00:30:00,19
27/08/2019 00:45:00,16
27/08/2019 01:00:00,15
27/08/2019 01:15:00,14
27/08/2019 01:30:00,13
27/08/2019 01:45:00,11
27/08/2019 02:00:00,11
27/08/2019 02:15:00,11
27/08/2019 02:30:00,10
27/08/2019 02:45:00,10
27/08/2019 03:00:00,11
27/08/2019 03:15:00,11
27/08/2019 03:30:00,11
27/08/2019 03:45:00,11
27/08/2019 04:00:00,10
27/08/2019 04:15:00,11
27/08/2019 04:30:00,13
27/08/2019 04:45:00,14
27/08/2019 05:00:00,15
27/08/2019 05:15:00,17
27/08/2019 05:30:00,18
27/08/2019 05:45:00,18
