date,value
23/08/2019 00:00:00,9.68
23/08/2019 00:15:00,10.16
23/08/2019 00:30:00,10.94
23/08/2019 00:45:00,11.39
23/08/2019 01:00:00,12.09
23/08/2019 01:15:00,12.79
23/08/2019 01:30:00,13.33
23/08/2019 01:45:00,13.88
23/08/2019 02:00:00,14.73
23/08/2019 02:15:00,14.95
23/08/2019 02:30:00,15.29
23/08/2019 02:45:00,16.01
23/08/2019 03:00:00,16.6
23/08/2019 03:15:00,17.82
23/08/2019 03:30:00,18.59
23/08/2019 03:45:00,19.5
23/08/2019 04:00:00,20.15
23/08/2019 04:15:00,20.9
23/08/2019 04:30:00,21.43
23/08/2019 04:45:00,21.89
23/08/2019 05:00:00,21.47
23/08/2019 05:15:00,21.59
23/08/2019 05:30:00,21.45
23/08/2019 05:45:00,20.71
23/08/2019 06:00:00,19.71
23/08/2019 06:15:00,16.97
23/08/2019 06:30:00,14.11
23/08/2019 06:45:00,12.47
23/08/2019 07:00:00,10.13
23/08/2019 07:15:00,8.56
23/08/2019 07:30:00,8.54
23/08/2019 07:45:00,9.25
23/08/2019 08:00:00,10.2
23/08/2019 08:15:00,10.54
23/08/2019 08:30:00,10.94
23/08/2019 08:45:00,10.58
23/08/2019 09:00:00,11.06
23/08/2019 09:15:00,12.28
23/08/2019 09:30:00,13.69
23/08/2019 09:45:00,15.31
23/08/2019 10:00:00,14.31
23/08/2019 10:15:00,15.08
23/08/2019 10:30:00,16.11
23/08/2019 10:45:00,16.55
23/08/2019 11:00:00,16.85
23/08/2019 11:15:00,16.44
23/08/2019 11:30:00,15.79
23/08/2019 11:45:00,14.73
23/08/2019 12:00:00,13.32
23/08/2019 12:15:00,14.25
23/08/2019 12:30:00,13.3
23/08/2019 12:45:00,12.98
23/08/2019 13:00:00,14.09
23/08/2019 13:15:00,14.24
23/08/2019 13:30:00,13.11
23/08/2019 13:45:00,12.47
23/08/2019 14:00:00,13.1
23/08/2019 14:15:00,13.11
23/08/2019 14:30:00,11.99
23/08/2019 14:45:00,12.02
23/08/2019 15:00:00,13.46
23/08/2019 15:15:00,13.02
23/08/2019 15:30:00,15.68
23/08/2019 15:45:00,15.32
23/08/2019 16:00:00,16.34
23/08/2019 16:15:00,15.71
23/08/2019 16:30:00,17.33
23/08/2019 16:45:00,18.57
23/08/2019 17:00:00,20.9
23/08/2019 17:15:00,21.27
23/08/2019 17:30:00,21.84
23/08/2019 17:45:00,25.36
23/08/2019 18:00:00,28.86
23/08/2019 18:15:00,33.16
23/08/2019 18:30:00,38.89
23/08/2019 18:45:00,46.23
23/08/2019 19:00:00,52.98
23/08/2019 19:15:00,57.96
23/08/2019 19:30:00,64.5
23/08/2019 19:45:00,71.26
23/08/2019 20:00:00,74.08
23/08/2019 20:15:00,73.61
23/08/2019 20:30:00,74.94
23/08/2019 20:45:00,76.18
23/08/2019 21:00:00,74.02
23/08/2019 21:15:00,72.44
23/08/2019 21:30:00,73.52
23/08/2019 21:45:00,74.03
23/08/2019 22:00:00,74.77
23/08/2019 22:15:00,73.32
23/08/2019 22:30:00,74.83
23/08/2019 22:45:00,73.1
23/08/2019 23:00:00,71.26
23/08/2019 23:15:00,71.95
23/08/2019 23:30:00,69.97
23/08/2019 23:45:00,69.58
24/08/2019 00:00:00,67.94
24/08/2019 00:15:00,67.52
24/08/2019 00:30:00,64.48
24/08/2019 00:45:00,64.78
24/08/2019 01:00:00,65.75
24/08/2019 01:15:00,65.07
24/08/2019 01:30:00,63.39
24/08/2019 01:45:00,63.69
24/08/2019 02:00:00,64.37
24/08/2019 02:15:00,65.39
24/08/2019 02:30:00,65.53
24/08/2019 02:45:00,66.95
24/08/2019 03:00:00,67.96
24/08/2019 03:15:00,69.39
24/08/2019 03:30:00,70.63
24/08/2019 03:45:00,70.64
