date,value
23/08/2019 00:00:00,1.44
23/08/2019 00:15:00,1.38
23/08/2019 00:30:00,1.38
23/08/2019 00:45:00,1.5
23/08/2019 01:00:00,1.77
23/08/2019 01:15:00,1.87
23/08/2019 01:30:00,1.95
23/08/2019 01:45:00,2.47
23/08/2019 02:00:00,2.68
23/08/2019 02:15:00,3.02
23/08/2019 02:30:00,3.64
23/08/2019 02:45:00,3.94
23/08/2019 03:00:00,5.03
23/08/2019 03:15:00,6.16
23/08/2019 03:30:00,6.69
23/08/2019 03:45:00,8.08
23/08/2019 04:00:00,9.07
23/08/2019 04:15:00,9.81
23/08/2019 04:30:00,11.57
23/08/2019 04:45:00,14.28
23/08/2019 05:00:00,15.76
23/08/2019 05:15:00,17.6
23/08/2019 05:30:00,18.76
23/08/2019 05:45:00,19.08
23/08/2019 06:00:00,18.71
23/08/2019 06:15:00,16.45
23/08/2019 06:30:00,14.43
23/08/2019 06:45:00,13.24
23/08/2019 07:00:00,12.27
23/08/2019 07:15:00,11.23
23/08/2019 07:30:00,10.4
23/08/2019 07:45:00,10.73
23/08/2019 08:00:00,11.45
23/08/2019 08:15:00,12.05
23/08/2019 08:30:00,11.99
23/08/2019 08:45:00,15.77
23/08/2019 09:00:00,16.34
23/08/2019 09:15:00,17.56
23/08/2019 09:30:00,15.8
23/08/2019 09:45:00,19.68
23/08/2019 10:00:00,18.25
23/08/2019 10:15:00,17.64
23/08/2019 10:30:00,17.61
23/08/2019 10:45:00,20.32
23/08/2019 11:00:00,20.49
23/08/2019 11:15:00,16.82
23/08/2019 11:30:00,15.29
23/08/2019 11:45:00,16.36
23/08/2019 12:00:00,14.48
23/08/2019 12:15:00,12.92
23/08/2019 12:30:00,15.42
23/08/2019 12:45:00,14.08
23/08/2019 13:00:00,14.89
23/08/2019 13:15:00,13.81
23/08/2019 13:30:00,16.03
23/08/2019 13:45:00,12.01
23/08/2019 14:00:00,14.47
23/08/2019 14:15:00,12.93
23/08/2019 14:30:00,13.08
23/08/2019 14:45:00,12.9
23/08/2019 15:00:00,11.91
23/08/2019 15:15:00,13.42
23/08/2019 15:30:00,12.64
23/08/2019 15:45:00,11.62
23/08/2019 16:00:00,14.05
23/08/2019 16:15:00,11.98
23/08/2019 16:30:00,11.54
23/08/2019 16:45:00,12.58
23/08/2019 17:00:00,12.48
23/08/2019 17:15:00,12.54
23/08/2019 17:30:00,13.18
23/08/2019 17:45:00,12.43
23/08/2019 18:00:00,11.93
23/08/2019 18:15:00,16.82
23/08/2019 18:30:00,14.87
23/08/2019 18:45:00,15.1
23/08/2019 19:00:00,15.86
23/08/2019 19:15:00,17.47
23/08/2019 19:30:00,18.84
23/08/2019 19:45:00,19.88
23/08/2019 20:00:00,19.16
23/08/2019 20:15:00,21.08
23/08/2019 20:30:00,20.34
23/08/2019 20:45:00,20.03
23/08/2019 21:00:00,19.58
23/08/2019 21:15:00,22.09
23/08/2019 21:30:00,21.99
23/08/2019 21:45:00,18.33
23/08/2019 22:00:00,18.56
23/08/2019 22:15:00,18.56
23/08/2019 22:30:00,17.11
23/08/2019 22:45:00,14.19
23/08/2019 23:00:00,15.69
23/08/2019 23:15:00,16.71
23/08/2019 23:30:00,18.88
23/08/2019 23:45:00,21.67
24/08/2019 00:00:00,22.43
24/08/2019 00:15:00,22.25
24/08/2019 00:30:00,22.03
24/08/2019 00:45:00,23.34
24/08/2019 01:00:00,24.81
24/08/2019 01:15:00,22.9
24/08/2019 01:30:00,22.77
24/08/2019 01:45:00,19.49
24/08/2019 02:00:00,22.58
24/08/2019 02:15:00,23.15
24/08/2019 02:30:00,22.01
24/08/2019 02:45:00,21.81
24/08/2019 03:00:00,21.44
24/08/2019 03:15:00,20.24
24/08/2019 03:30:00,19.19
24/08/2019 03:45:00,19.96
24/08/2019 04:00:00,19.21
24/08/2019 04:15:00,18.89
24/08/2019 04:30:00,15.21
24/08/2019 04:45:00,17.01
24/08/2019 05:00:00,16.06
24/08/2019 05:15:00,16.36
24/08/2019 05:30:00,15.49
24/08/2019 05:45:00,14.23
24/08/2019 06:00:00,13.52
24/08/2019 06:15:00,11.64
24/08/2019 06:30:00,10.65
24/08/2019 06:45:00,9.56
24/08/2019 07:00:00,6.19
24/08/2019 07:15:00,4.38
24/08/2019 07:30:00,3.47
24/08/2019 07:45:00,2.32
24/08/2019 08:00:00,1.64
24/08/2019 08:15:00,1.36
24/08/2019 08:30:00,0.86
24/08/2019 08:45:00,0.86
24/08/2019 09:00:00,0.57
24/08/2019 09:15:00,0.66
24/08/2019 09:30:00,0.69
24/08/2019 09:45:00,0.56
24/08/2019 10:00:00,0.54
24/08/2019 10:15:00,0.86
24/08/2019 10:30:00,1.01
24/08/2019 10:45:00,0.97
24/08/2019 11:00:00,0.49
