hour,t(sec),kWh,State,kWOut,kWIn,kvarOut,DCkW,kWTotalLosses,kWInvLosses,kWIdlingLosses,kWChDchLosses,"kWh Chng",InvEff,InverterON,Vref,"Vavg (DRC)","VV Oper","VW Oper","DRC Oper","VV_DRC Oper","WP Oper","WV Oper",kWDesired,"kW VW Limit","Limit kWOut Function","kVA Exceeded"
1, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -100, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
2, 0.00000, 0, -1, 0, 9.9999, 0.0000686275, -9.9999, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
3, 0.00000, 9.9999, -1, 0, 9.99996, 0.0000259589, -9.99996, 0, 0, 0, 0, 9.9999, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
4, 0.00000, 19.9999, -1, 0, 9.99999, 6.82296E-6, -9.99999, 0, 0, 0, 0, 9.99996, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
5, 0.00000, 29.9998, -1, 0, 9.99998, 9.09546E-6, -9.99998, 0, 0, 0, 0, 9.99999, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
6, 0.00000, 39.9998, -1, 0, 9.99996, 0.0000111388, -9.99996, 0, 0, 0, 0, 9.99998, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
7, 0.00000, 49.9998, -1, 0, 10, 2.49963E-7, -10, 0, 0, 0, 0, 9.99996, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
8, 0.00000, 59.9998, -1, 0, 10, -6.91723E-6, -10, 0, 0, 0, 0, 10, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
9, 0.00000, 69.9998, -1, 0, 9.99995, 0.0000188104, -9.99995, 0, 0, 0, 0, 10, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
10, 0.00000, 79.9997, -1, 0, 10, -8.60851E-6, -10, 0, 0, 0, 0, 9.99995, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
11, 0.00000, 89.9998, -1, 0, 10.0001, -0.0000200373, -10.0001, 0, 0, 0, 0, 10, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
12, 0.00000, 99.9999, -1, 0, 9.99998, 0.000010231, -9.99998, 0, 0, 0, 0, 10.0001, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 1
13, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.000137979, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
14, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
15, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
16, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
17, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
18, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
19, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
20, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
21, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
22, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
23, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
24, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
25, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
26, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
27, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
28, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
29, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
30, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
31, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
32, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
33, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
34, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
35, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
36, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
37, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
38, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
39, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, -10, 9999, 10, 0
40, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
41, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
42, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
43, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
44, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
45, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
46, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
47, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
48, 0.00000, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 10, 0
