hour, t(sec), P1 (kW), Q1 (kvar)
1, 0.00000, -106.8, -20.7918
2, 0.00000, -94.8311, -20.4449
3, 0.00000, -94.8344, -20.4209
4, 0.00000, -82.0547, -17.7367
5, 0.00000, -74.1989, -15.895
6, 0.00000, -19.121, -2.28356
7, 0.00000, 75.3472, 26.8117
8, 0.00000, 113.61, 30.3126
9, 0.00000, 93.994, 31.4342
10, 0.00000, 68.4252, 23.3786
11, 0.00000, 10.4499, 5.30082
12, 0.00000, 40.9388, 15.495
13, 0.00000, 39.2354, 17.8167
14, 0.00000, -22.4722, -0.889195
15, 0.00000, -55.4497, -9.05688
16, 0.00000, -57.5057, -9.79016
17, 0.00000, -68.4503, -12.5464
18, 0.00000, -83.7848, -15.8575
19, 0.00000, -85.0032, -16.0857
20, 0.00000, -96.263, -18.4876
21, 0.00000, -105.384, -20.3876
22, 0.00000, -115.572, -22.5143
23, 0.00000, -123.946, -24.2129
24, 0.00000, -118.67, -23.138
25, 0.00000, -116.907, -22.8072
26, 0.00000, -118.982, -23.2453
27, 0.00000, -118.117, -23.0513
28, 0.00000, -105.125, -20.3385
29, 0.00000, -98.2881, -18.8531
30, 0.00000, -51.1914, -7.93003
31, 0.00000, 31.8007, 14.2718
32, 0.00000, 88.503, 30.0148
33, 0.00000, 156.215, 47.7931
34, 0.00000, 219.828, 68.9389
35, 0.00000, 149.357, 45.8326
36, 0.00000, 168.821, 51.7147
37, 0.00000, 143.082, 44.0387
38, 0.00000, 102.914, 32.6759
39, 0.00000, 89.0587, 28.1853
40, 0.00000, 95.6133, 30.1594
41, 0.00000, 96.4904, 31.0468
42, 0.00000, 84.1948, 28.0547
43, 0.00000, 65.4393, 22.6329
44, 0.00000, 18.3394, 10.4447
45, 0.00000, -112.327, -21.7328
46, 0.00000, -122.522, -23.8936
47, 0.00000, -132.04, -25.8462
48, 0.00000, -128.804, -25.1876
