hour,t(sec),"P1 (kW)","Q1 (kvar)"
0, 900.00000, -89.9159, -17.416
0, 1800.00000, -107.778, -20.9735
0, 2700.00000, -107.619, -20.9543
1, 0.00000, -106.798, -20.7913
1, 900.00000, -99.3031, -19.1889
1, 1800.00000, -108.671, -21.1575
1, 2700.00000, -106.856, -20.7966
2, 0.00000, -94.843, -20.4474
2, 900.00000, -93.1861, -20.1024
2, 1800.00000, -92.8707, -20.0424
2, 2700.00000, -95.019, -20.4919
3, 0.00000, -94.8348, -20.421
3, 900.00000, -93.0934, -20.0577
3, 1800.00000, -90.9615, -19.6258
3, 2700.00000, -87.4348, -18.8781
4, 0.00000, -82.0605, -17.7382
4, 900.00000, -81.9605, -17.698
4, 1800.00000, -87.3733, -18.8618
4, 2700.00000, -88.024, -18.9807
5, 0.00000, -74.1992, -15.8951
5, 900.00000, -74.8476, -16.1159
5, 1800.00000, -78.0975, -16.8386
5, 2700.00000, -60.2901, -12.7902
6, 0.00000, -19.1202, -2.2832
6, 900.00000, 0.221538, 2.79941
6, 1800.00000, 25.3915, 10.2864
6, 2700.00000, 50.1122, 18.1769
7, 0.00000, 75.3471, 26.8116
7, 900.00000, 52.0017, 18.7334
7, 1800.00000, 49.4068, 16.7847
7, 2700.00000, 65.4703, 22.9171
8, 0.00000, 113.617, 30.3162
8, 900.00000, 119.383, 34.3082
8, 1800.00000, 125.834, 34.3263
8, 2700.00000, 69.9959, 23.5905
9, 0.00000, 93.999, 31.437
9, 900.00000, 60.4214, 19.753
9, 1800.00000, 44.987, 18.0905
9, 2700.00000, 56.8738, 22.9707
10, 0.00000, 58.3027, 23.2885
10, 900.00000, 37.9309, 16.7397
10, 1800.00000, 11.0476, 8.51558
10, 2700.00000, -7.8444, 6.00245
11, 0.00000, -9.59085, 5.27282
11, 900.00000, 9.16738, 10.8718
11, 1800.00000, 37.3137, 20.4567
11, 2700.00000, 27.5006, 17.8089
12, 0.00000, 20.8222, 15.402
12, 900.00000, 31.6554, 18.596
12, 1800.00000, 21.2268, 15.219
12, 2700.00000, 11.8781, 12.5588
13, 0.00000, 29.1648, 17.762
13, 900.00000, -9.17692, 6.4258
13, 1800.00000, -22.729, 2.51862
13, 2700.00000, -41.9582, -2.77599
14, 0.00000, -32.4543, -0.872409
14, 900.00000, -59.3626, -7.42462
14, 1800.00000, -60.281, -7.811
14, 2700.00000, -58.1726, -7.49437
15, 0.00000, -65.3929, -9.00579
15, 900.00000, -64.5913, -8.80876
15, 1800.00000, -70.7527, -10.383
15, 2700.00000, -62.5433, -8.55725
16, 0.00000, -67.4244, -9.73574
16, 900.00000, -78.9377, -12.3799
16, 1800.00000, -82.6579, -13.2805
16, 2700.00000, -83.3853, -13.508
17, 0.00000, -78.3633, -12.4827
17, 900.00000, -67.3759, -9.96316
17, 1800.00000, -90.3725, -15.0599
17, 2700.00000, -90.1759, -14.9482
18, 0.00000, -93.6942, -15.7647
18, 900.00000, -74.268, -13.7317
18, 1800.00000, -84.7305, -16.0526
18, 2700.00000, -74.5446, -13.807
19, 0.00000, -84.9943, -16.0902
19, 900.00000, -77.8353, -14.4741
19, 1800.00000, -83.1155, -15.6591
19, 2700.00000, -87.765, -16.684
20, 0.00000, -96.2746, -18.4772
20, 900.00000, -95.0167, -18.1443
20, 1800.00000, -86.9969, -16.3411
20, 2700.00000, -85.8584, -16.2051
21, 0.00000, -105.387, -20.3828
21, 900.00000, -108.054, -20.9721
21, 1800.00000, -116.189, -22.652
21, 2700.00000, -115.123, -22.389
22, 0.00000, -115.57, -22.5122
22, 900.00000, -120.408, -23.5033
22, 1800.00000, -123.605, -24.1731
22, 2700.00000, -124.412, -24.3185
23, 0.00000, -123.951, -24.2085
23, 900.00000, -123.324, -24.0766
23, 1800.00000, -121.751, -23.7984
23, 2700.00000, -121.891, -23.8313
24, 0.00000, -118.665, -23.1418
