Delivery day;Period;Supply total (MWh);Supply successful (MWh);Supply unsuccessful (MWh);Demand total (MWh);Demand successful (MWh);Demand unsuccessful (MWh);Price (€/MWh);ATC SK ➝ CZ (MW);Flow SK ➝ CZ (MWh);ATC CZ ➝ SK (MW);Flow CZ ➝ SK (MWh);Price CZ (€/MWh);ATC SK ➝ HU (MW);Flow SK ➝ HU (MWh);ATC HU ➝ SK (MW);Flow HU ➝ SK (MWh);Price HU (€/MWh);ATC HU ➝ RO (MW);Flow HU ➝ RO (MWh);ATC RO ➝ HU (MW);Flow RO ➝ HU (MWh);Price RO (€/MWh),,,,,,,,,,
1.4.2021;1;938.0;801.0;137.0;447.4;373.9;73.5;56.20;1,355.0;0.0;1,945.0;577.0;56.20;1,300.0;1,004.1;1,000.0;0.0;56.20;842.0;0.0;758.0;201.4;56.20,,,,,
1.4.2021;2;977.0;790.1;186.9;445.4;323.4;122.0;52.14;1,355.0;0.0;1,945.0;405.8;52.14;1,300.0;872.5;1,000.0;0.0;52.14;842.0;0.0;758.0;219.8;52.14,,,,,,
1.4.2021;3;1,017.7;832.9;184.8;456.8;332.8;124.0;49.52;1,355.0;0.0;1,945.0;56.8;49.52;1,300.0;556.9;1,000.0;0.0;49.52;842.0;0.0;758.0;176.2;49.52,,,,,
1.4.2021;4;917.8;732.9;184.9;441.6;319.6;122.0;48.89;1,355.0;117.3;1,945.0;0.0;48.89;1,300.0;296.0;1,000.0;0.0;48.89;842.0;0.0;758.0;97.1;48.89,,,,,,
1.4.2021;5;1,003.6;816.6;187.0;467.5;345.4;122.1;49.00;1,355.0;0.0;1,945.0;39.4;49.00;1,300.0;510.6;1,000.0;0.0;49.00;842.0;44.5;758.0;0.0;49.00,,,,,
1.4.2021;6;964.2;825.8;138.4;552.5;424.4;128.1;53.73;1,355.0;0.0;1,945.0;898.6;53.73;1,300.0;1,300.0;1,000.0;0.0;53.80;842.0;401.7;758.0;0.0;53.80,,,,,
1.4.2021;7;919.2;706.1;213.1;685.6;553.8;131.8;63.80;1,355.0;0.0;1,945.0;637.1;63.80;1,300.0;789.4;1,000.0;0.0;63.80;852.0;223.2;748.0;0.0;63.80,,,,,,
1.4.2021;8;947.0;839.9;107.1;764.1;637.4;126.7;71.50;1,368.0;0.0;1,932.0;522.9;71.50;1,300.0;725.4;1,000.0;0.0;71.50;852.0;157.5;748.0;0.0;71.50,,,,,,
1.4.2021;9;863.9;772.8;91.1;806.4;673.5;132.9;72.04;1,368.0;0.0;1,932.0;854.2;72.04;1,300.0;953.5;1,000.0;0.0;72.04;852.0;431.8;748.0;0.0;72.04,,,,,,
1.4.2021;10;826.6;668.4;158.2;849.5;714.6;134.9;64.38;1,368.0;0.0;1,932.0;1,128.0;64.38;1,300.0;1,081.8;1,000.0;0.0;64.38;852.0;412.2;748.0;0.0;64.38,,,,
1.4.2021;11;801.5;625.4;176.1;844.5;697.1;147.4;57.09;1,368.0;0.0;1,932.0;1,371.7;57.09;1,300.0;1,300.0;1,000.0;0.0;60.42;852.0;301.6;748.0;0.0;60.42,,,,
